year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Italy;Netherlands;Norway;Poland;Portugal;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;;;58635,0;;59202,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;;;;;;;;56647,0;;66640,0;;;;;;;;;;;;;;;;;;-0,03390466444956086;;0,12563764737677774;;;;;;;;;
1982;6285,0;;;;;;;;58635,0;;49385,0;;;;;;;;;;;;;;;;;;0,03509453280844532;;-0,2589285714285714;;;;;;;;;
1983;6725,0;;;;;;;;62610,0;;50277,0;;;;;;;;;;0,0700079554494828;;;;;;;;0,06779227423893586;;0,01806216462488619;;;;;;;;;
1984;10811,0;;;;;7268,0;;;54660,0;;40162,0;;;;;;;;;;0,6075836431226767;;;;;;;;-0,1269765213224725;;-0,2011854327028263;;;;;;;;;
1985;7228,0;2065,0;;;;6243,0;;;67579,0;;48492,0;;;;;;;;;;-0,33142170012024785;;;;;-0,14102916895982387;;;0,23635199414562758;;0,20740998954235357;;;;;;;;;
1986;6914,0;1032,0;;;;6523,0;;;65592,0;;53847,0;;;;;;;;;;-0,043442169341449954;-0,5002421307506053;;;;0,044850232260131406;;;-0,02940262507583713;;0,11043058648849291;;;;;;;;;
1987;6914,0;1383,0;;;;6430,0;;;59629,0;;48195,0;;;;;;;;;;0,0;0,3401162790697674;;;;-0,014257243599570701;;;-0,09091047688742526;;-0,10496406485040954;;;;;;;;;
1988;7543,0;1961,0;;;;7175,0;;;54660,0;;56822,0;;;;;;;;;;0,09097483367081294;0,41793203181489513;;;;0,11586314152410582;;;-0,08333193580304887;;0,17900197115883398;;;;;;;;;
1989;8925,0;1135,0;456164,0;;;8573,0;;;54660,0;;60987,0;;;;;;;;;33278,0;0,1832162269653983;-0,42121366649668535;;;;0,19484320557491297;;;0,0;;0,07329907430220683;;;;;;;;;
1990;12508,0;1135,0;360369,0;;;9319,0;;;45715,0;;53252,0;;;;;;;;12561,0;42596,0;0,40145658263305317;0,0;-0,21000122762865991;;;0,08701738014697313;;;-0,16364800585437245;;-0,1268303080984472;;;;;;;;;0,28000480798124894
1991;16971,0;950,0;369493,0;;;9132,0;;;47703,0;;57715,0;;;;;;;;21480,0;66085,0;0,3568116405500479;-0,16299559471365643;0,02531849298913058;;;-0,020066530743642064;;;0,04348682051842934;;0,08380905881469247;;;;;;;;0,710054931932171;0,5514367546248473
1992;11251,0;1363,0;346684,0;;;11462,0;;;32796,0;;58012,0;;;;;;;;17580,0;59591,0;-0,3370455482882564;0,4347368421052631;-0,06173053346071511;;;0,2551467367498905;;;-0,3124960694295956;;0,0051459759161396335;;;;;;;;-0,1815642458100558;-0,09826738291594161
1993;15336,0;1528,0;410547,0;;;11275,0;;;40746,0;;63665,0;;;;;;;;17622,0;70744,0;0,36307883743667224;0,12105649303008081;0,1842109817586044;;;-0,016314779270633406;;;0,2424076106842299;;0,09744535613321381;;;;;;;;0,0023890784982936175;0,18715913476867319
1994;16468,0;1383,0;396862,0;;;12394,0;;;47703,0;;69317,0;;;;;;;;19628,0;73560,0;0,07381324986958782;-0,0948952879581152;-0,03333357691080441;;;0,09924611973392472;;;0,17074068620232663;;0,0887771931202388;;;;;;;;0,11383497900351824;0,03980549587244142
1995;13325,0;1961,0;364931,0;;;12487,0;;;38759,0;;68425,0;;;;;;;;20196,0;76016,0;-0,19085499149866403;0,41793203181489513;-0,08045869848965126;;;0,007503630789091442;;;-0,18749344904932608;;-0,012868416117258419;;;;;;;;0,02893825147748119;0,0333877107123437
1996;20113,0;1548,0;305630,0;;;13232,0;;;40746,0;;72292,0;;;;;;;;23584,0;73644,0;0,5094183864915571;-0,21060683324834273;-0,16249921217983676;;;0,059662048530471745;;;0,05126551252612299;;0,0565144318597004;;;;;;;;0,16775599128540297;-0,031203957061671228
1997;12697,0;1053,0;323876,0;;;12021,0;;;38759,0;;74672,0;;;;;;;;18454,0;58951,0;-0,36871675036046336;-0,31976744186046513;0,05969963681575763;;;-0,09152055622732769;;;-0,04876552299612236;;0,032922038399822995;;;;;;;;-0,2175203527815468;-0,19951387757318995
1998;13828,0;1115,0;383178,0;;;10996,0;;750049,0;34784,0;;94605,0;44339,0;;;;;;;21941,0;69573,0;0,08907615972276917;0,058879392212725534;0,1831009398658745;;;-0,08526744863156144;;;-0,10255682551149414;;0,2669407542318405;;;;;;;;0,1889563238322316;0,1801835422639142
1999;18668,0;929,0;323876,0;9490,0;;11835,0;;742548,0;37765,0;12571,0;96687,0;38575,0;;;;;;;20190,0;88055,0;0,3500144634075788;-0,16681614349775786;-0,15476358246037092;;;0,07630047289923603;;-0,010000679955576186;0,08570032198712041;;0,022007293483431;-0,12999842125442618;;;;;;;-0,079804931406955;0,2656490305147112
2000;18353,0;1115,0;415109,0;8351,0;119511,0;13046,0;9229,0;697545,0;40746,0;14205,0;99662,0;37245,0;;;;;;;25189,0;81810,0;-0,0168737947289479;0,20021528525296017;0,2816911410539835;-0,12002107481559532;;0,10232361639205756;;-0,060606183034632055;0,07893552230901624;0,1299817039217246;0,030769389886954768;-0,03447828904731043;;;;;;;0,24759782070331848;-0,07092158310147068
2001;23382,0;1404,0;460725,0;7023,0;125487,0;13419,0;21042,0;637541,0;48697,0;12571,0;87762,0;43896,0;;;;;;;30428,0;86596,0;0,2740151473873482;0,2591928251121076;0,10988920982199857;-0,1590228715123937;0,05000376534377593;0,028591139046451053;1,2799869975078555;-0,08602169035689455;0,1951357188435674;-0,11502991904259063;-0,1194035841143064;0,17857430527587592;;;;;;;0,20798761364087492;0,058501405696125275
2002;24702,0;1239,0;465287,0;11293,0;121901,0;14071,0;14674,0;675044,0;40746,0;12194,0;91035,0;42122,0;;;;;;;20643,0;98738,0;0,05645368231973302;-0,11752136752136755;0,009901785229800897;0,6080022782286771;-0,028576665311944693;0,04858782323571065;-0,30263282957893733;0,05882445207445475;-0,16327494506848472;-0,02998965873836612;0,037294045258768005;-0,040413705121195576;;;;;;;-0,3215788089917182;0,14021432860640215
2003;23382,0;1197,0;551958,0;6453,0;130267,0;18264,0;16243,0;682544,0;40746,0;13325,0;101150,0;46999,0;;;;;;;23515,0;84284,0;-0,053436968666504714;-0,03389830508474578;0,18627427802625052;-0,42858407863278136;0,068629461612292;0,29798877123161116;0,10692381082186175;0,011110386878484979;0,0;0,09275053304904057;0,11111111111111116;0,1157827263662694;;;;;;;0,13912706486460302;-0,14638740910287829
2004;21999,0;764,0;515465,0;9111,0;124292,0;16680,0;25749,0;697545,0;42734,0;16217,0;108587,0;52764,0;;;;37899,0;;;20460,0;102279,0;-0,059148062612265795;-0,36173767752715125;-0,06611553777642498;0,41190144119014405;-0,04586733401398668;-0,08672798948751648;0,5852367173551685;0,021978070278253048;0,048790065282481754;0,21703564727954983;0,07352446861097373;0,12266218430179365;;;;;;;-0,1299170742079524;0,21350434246120265
