year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Hungary;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;;;;53468,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;;;;;;;;;82633,0;;;;;;;;;;;;;;;;;;;;0,5454664472207675;;;;;;;;;;
1982;10012,0;733,0;;;;;;;;60152,0;;;;;;;;;;;;;;;;;;;;-0,27205837861387094;;;;;;;;;;
1983;9312,0;1070,0;;;;;;;;64405,0;;;;;;;;;;;-0,06991610067918497;0,4597544338335606;;;;;;;;0,07070421598616838;;;;;;;;;;
1984;9612,0;733,0;;;;;2647,0;;;83848,0;;;6711,0;29311,0;;;;;;;0,03221649484536093;-0,3149532710280374;;;;;;;;0,3018864994953807;;;;;;;;;;
1985;6308,0;923,0;;;;;2260,0;;;83241,0;;;8053,0;36346,0;;;;;;;-0,34373699542238867;0,2592087312414735;;;;;-0,14620324896108805;;;-0,0072392901440702095;;;0,19997019818208916;0,24001228207840053;;;;;;
1986;9812,0;916,0;;;;;2970,0;;;88709,0;;;9530,0;33708,0;;;;;;;0,5554850982878885;-0,007583965330444253;;;;;0,31415929203539816;;;0,0656887831717543;;;0,18340990935055257;-0,07258020139767785;;;;;;
1987;5607,0;645,0;;;;;3003,0;;;75342,0;;;5637,0;46312,0;;;;;;;-0,4285568691398288;-0,2958515283842795;;;;;0,011111111111111072;;;-0,15068369613004318;;;-0,4084994753410284;0,3739171709979827;;;;;;
1988;8210,0;718,0;;;;;3067,0;;;71696,0;;;8053,0;37812,0;;;;;;;0,46424112716247556;0,11317829457364348;;;;;0,021312021312021256;;;-0,04839266279100629;;;0,4285967713322689;-0,1835377439972361;;;;;;
1989;5707,0;696,0;14142,0;;;;2970,0;;;69266,0;;;7114,0;34881,0;;;;;;29834,0;-0,30487210718635815;-0,03064066852367686;;;;;-0,0316269970655364;;;-0,033893104217808556;;;-0,1166025083819695;-0,07751507457949858;;;;;;
1990;7009,0;484,0;23900,0;;;;3229,0;;;63190,0;;;6778,0;48950,0;;;;;9566,0;49823,0;0,2281408796215174;-0,3045977011494253;0,6900014142271249;;;;0,08720538720538729;;;-0,08771980481044095;;;-0,047230812482429;0,4033427940712708;;;;;;0,6700073741368908
1991;8110,0;623,0;31537,0;;;;3003,0;;;72304,0;;;9530,0;67416,0;;;;;11766,0;53278,0;0,1570837494649735;0,2871900826446281;0,31953974895397486;;;;-0,06999070919789407;;;0,1442316822282006;;;0,40601947477131906;0,37724208375893764;;;;;0,22998118335772522;0,06934548300985499
1992;10313,0;366,0;39174,0;;;;2744,0;;;72911,0;;;7181,0;62726,0;;;;;10331,0;46203,0;0,27163995067817504;-0,4125200642054575;0,242160002536703;;;;-0,08624708624708621;;;0,008395109537508327;;;-0,24648478488982162;-0,06956805506111308;;;;;-0,12196158422573522;-0,13279402379969218
