year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1980;;46292,0;;;;;;;;451033,0;;117920,0;;;;255599,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;49042,0;;;;;;;;543973,0;;109231,0;;;;741237,0;;;;;;;;;;;0,05940551283159068;;;;;;;;0,20606031044291662;;-0,07368554952510176;;;;1,8999996087621627;;;;;;;;;
1982;369184,0;52708,0;;;;;;;;366294,0;;108611,0;;;;817916,0;;;;;;;;;;;0,07475225317075163;;;;;;;;-0,32663202033924477;;-0,005676044346385134;;;;0,10344734545091505;;;;;;;;;
1983;446713,0;60500,0;;;;;;;;289755,0;;104266,0;;;;515458,0;;;;;;;;;;0,21000097512351568;0,14783334598163456;;;;;;;;-0,20895510163966646;;-0,04000515601550492;;;;-0,36979102988570955;;;;;;;;;
1984;539009,0;62792,0;;;;;102132,0;;;464701,0;;132816,0;;;86364,0;609177,0;;;;;;;;;;0,20661140374244757;0,03788429752066125;;;;;;;;0,6037721523355939;;0,27381888631001483;;;;0,18181694725855446;;;;;;;;;
1985;542701,0;61417,0;;;;;90784,0;;;420964,0;;126609,0;;;64773,0;374878,0;;;;;;;;;;0,0068496073349424424;-0,02189769397375463;;;;;-0,11111111111111116;;;-0,0941185837775258;;-0,046733827249728965;;;-0,25;-0,38461563716292635;;;;;;;;;
1986;539009,0;49042,0;;;;;98728,0;;;248752,0;;116058,0;;;96728,0;638997,0;;;;;;;;;;-0,006803009391911918;-0,20149144373707606;;;;;0,08750440606274235;;;-0,40908961336361305;;-0,08333530791649879;;;0,4933382736634091;0,7045465458095701;;;;;;;;;
1987;465172,0;62333,0;;;;;100998,0;;;347159,0;;106749,0;;;68228,0;638997,0;;;;;;;;;;-0,13698658092907534;0,27101260144366046;;;;;0,02299246414391054;;;0,3956028494243262;;-0,08020989505247378;;;-0,29464064179968574;0,0;;;;;;;;;
1988;457788,0;66000,0;;;;;115750,0;;;379961,0;;117300,0;;;81182,0;562318,0;;;;;;;;;;-0,01587369833093999;0,05882919159995503;;;;;0,14606229826333195;;;0,09448696418643898;;0,09883933338953987;;;0,18986339919094797;-0,11999899843035255;;;;;;;;;
1989;535317,0;56375,0;319422,0;;;;108941,0;;;254219,0;;117300,0;;;96728,0;532498,0;;;;;;;;;988344,0;0,16935568429054504;-0,14583333333333337;;;;;-0,05882505399568039;;;-0,3309339642752809;;0,0;;;0,1914956517454609;-0,053030491643518474;;;;;;;;;
1990;535317,0;67833,0;447191,0;;;;113480,0;;;388162,0;;111714,0;;;136455,0;707157,0;;;;;;;;72673,0;929043,0;0,0;0,2032461197339246;0,400000626130949;;;;0,041664754316556696;;;0,5268803669277278;;-0,04762148337595906;;;0,41070837813249517;0,32799935398818403;;;;;;;;;-0,06000036424564725
1991;524242,0;59125,0;389695,0;;;;103267,0;;;303422,0;;121024,0;;;67364,0;396178,0;;;;;;;;82847,0;1606862,0;-0,02068867605549607;-0,12837409520439902;-0,12857146051687085;;;;-0,0899982375749031;;;-0,21831091142358083;;0,08333780904810495;;;-0,5063280935106812;-0,43975948763853;;;;;;;;0,13999697274090783;0,7295884044118517
1992;402411,0;53625,0;274703,0;;;;95324,0;;;232350,0;;125989,0;;;70819,0;345058,0;;;;;;;;75545,0;1218636,0;-0,23239458112856282;-0,09302325581395354;-0,29508205134784893;;;;-0,07691711776269283;;;-0,23423482806124807;;0,04102492067689045;;;0,051288522059260044;-0,12903290944979273;;;;;;;;-0,08813837555976678;-0,24160506627202583
1993;527933,0;65083,0;306645,0;;;;106672,0;;;281554,0;;124127,0;;;120910,0;477118,0;;;;;;;;90045,0;1430229,0;0,31192487282902315;0,2136689976689976;0,1162783078452001;;;;0,11904661994880628;;;0,21176673122444578;;-0,014779068013874186;;;0,7073101851198125;0,3827182676535539;;;;;;;;0,19193857965451055;0,17363101040835827
1994;561160,0;67833,0;348170,0;;;;107806,0;;;328024,0;;124127,0;;;158046,0;404698,0;;;;;;;;78570,0;1571636,0;0,06293791068184795;0,042253737535147495;0,13541717621353677;;;;0,010630718464076816;;;0,1650482678278411;;0,0;;;0,3071375403192458;-0,15178635054640566;;;;;;;;-0,1274362818590704;0,09887018092906796
1995;561160,0;51792,0;392889,0;;;;111211,0;;;254219,0;;129712,0;;;73410,0;208739,0;;;;;;;;76334,0;1435304,0;0,0;-0,23647782052983057;0,12844012982163888;;;;0,031584512921358776;;;-0,22499878057703093;;0,04499423977055761;;;-0,535514976652367;-0,4842104482848939;;;;;;;;-0,02845869924907729;-0,08674527689617695
1996;590695,0;65542,0;415249,0;;;;115750,0;;;325291,0;;150193,0;;;93273,0;455818,0;;;;;45081,0;;;93111,0;1737617,0;0,05263204790077691;0,265485016991041;0,056911748610930735;;;;0,04081430793716456;;;0,27956997706701703;;0,1578959541137288;;;0,2705762157744176;1,1836743493070294;;;;;;;;0,21978410668902448;0,2106264596210976
1997;520550,0;61875,0;421637,0;;;;128233,0;;;284288,0;;143366,0;;;103637,0;451558,0;;;;;41925,0;;;91471,0;1684661,0;-0,11874994709621722;-0,0559488572213237;0,015383540959761577;;;;0,10784449244060479;;;-0,1260502135011421;;-0,04545484809545053;;;0,11111468484984943;-0,009345835399216407;;;;;-0,07000732015705069;;;-0,01761338617349184;-0,030476221169567275
1998;498399,0;61875,0;360947,0;;;;112346,0;;512771,0;218683,0;;156400,0;188422,0;;126955,0;413218,0;;;;;36966,0;;;78999,0;1545024,0;-0,04255306886946497;0,0;-0,1439389806871788;;;;-0,1238916659518221;;;-0,23076950135074292;;0,09091416374872696;;;0,2249968640543436;-0,08490603643385786;;;;;-0,1182826475849732;;;-0,13634922543757033;-0,08288729898774883
