year;Austria;Belgium-Wallonia;Bulgaria;Czech Republic;Denmark;Estonia;Germany East;Germany West;Greece;Hungary;Latvia;Netherlands;Poland;Spain;Sweden;Austria_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Netherlands_rendements;Poland_rendements;Spain_rendements;Sweden_rendements
1980;;;;;;;12283,0;;19550,0;;;;;;;;;;;;;;;;;;;;;
1981;;;;;;;9834,0;;22009,0;;;;;;;;;;;;;-0,19938125865016687;;0,12578005115089508;;;;;;
1982;2863,0;;;;;;3782,0;;22747,0;;;;;;;;;;;;;-0,615415904006508;;0,033531737016675;;;;;;
1983;3149,0;;;;;;7456,0;;17583,0;;;;;;;0,09989521480964014;;;;;;0,9714436805922793;;-0,2270189475535236;;;;;;
1984;7644,0;;;;4337,0;;3530,0;;17706,0;;27136,0;;;;;1,4274372816767227;;;;;;-0,5265557939914163;;0,0069953932775976835;;;;;;
1985;3407,0;;;;3508,0;;11527,0;;15984,0;;37448,0;;;;;-0,55429094714809;;;;-0,19114595342402585;;2,265439093484419;;-0,09725516773974918;;0,3800117924528301;;;;
1986;3092,0;;;;3444,0;;5872,0;;10205,0;;21980,0;;;;;-0,09245670678015849;;;;-0,018244013683010207;;-0,4905873167346231;;-0,36154904904904905;;-0,41305276650288403;;;;
1987;10821,0;;;;4273,0;;6664,0;;10451,0;;37990,0;;;;;2,4996765847347997;;;;0,24070847851335664;;0,13487738419618522;;0,024105830475257273;;0,7283894449499546;;;;
1988;1861,0;;;;4975,0;;5799,0;;9959,0;;17096,0;;;;;-0,8280195915349783;;;;0,16428738591153746;;-0,12980192076830732;;-0,04707683475265523;;-0,5499868386417479;;;;
1989;5353,0;1414220,0;;;5230,0;;4215,0;;10328,0;;59970,0;;;;41678,0;1,8764105319720579;;;;0,0512562814070352;;-0,27315054319710297;;0,037051912842654966;;2,5078380907814695;;;;
1990;5811,0;480835,0;;;6378,0;;11347,0;;10697,0;;44774,0;;;4290,0;23340,0;0,08555949934616103;-0,6599998585792874;;;0,21950286806883357;;1,6920521945432978;;0,035728117738187404;;-0,25339336334834084;;;;-0,439992322088392
1991;5840,0;452550,0;;;6250,0;;11527,0;;10574,0;;27407,0;;;5792,0;44421,0;0,004990535191877532;-0,05882475277382049;;;-0,020068987143305073;;0,015863223759583933;;-0,01149855099560626;;-0,38788135971769333;;;0,3501165501165502;0,9032133676092544
1992;7071,0;254560,0;;;6123,0;;12391,0;;7746,0;;30121,0;;;4205,0;69577,0;0,21078767123287667;-0,43749861893713404;;;-0,020320000000000005;;0,07495445475839335;;-0,26744845848307164;;0,099025796329405;;;-0,27399861878453036;0,5663087278539429
1993;7844,0;183849,0;;;7717,0;;9834,0;;10451,0;;87649,0;;;2746,0;96689,0;0,10931975675293448;-0,27777734129478315;;;0,2603299036420055;;-0,20635945444274073;;0,34921249677252786;;1,9098967497759038;;;-0,3469678953626635;0,3896689998131566
1994;7157,0;494977,0;;;8355,0;;15273,0;;8115,0;;47216,0;;;7594,0;78883,0;-0,08758286588475273;1,6923018346577896;;;0,08267461448749525;;0,5530811470408785;;-0,22351928045163139;;-0,4613058905406793;;;1,7654770575382375;-0,1841574532780358
1995;7901,0;268702,0;;;7717,0;;7132,0;;5287,0;;13568,0;;;4719,0;85906,0;0,10395417074193092;-0,4571424530836786;;;-0,07636146020347101;;-0,5330321482354482;;-0,34849044978434995;;-0,7126397831243646;;;-0,3785883592309718;0,0890305896073933
1996;9733,0;452550,0;;;9758,0;;19776,0;;6025,0;;34463,0;;;11370,0;95418,0;0,23186938362232623;0,6842077840879488;;;0,26448101593883644;;1,7728547392035896;;0,13958766786457355;;1,5400206367924527;;;1,4094087730451368;0,110725676902661
1997;7644,0;268702,0;;;11034,0;;13004,0;;4303,0;;44503,0;;;4634,0;91367,0;-0,21463063803554916;-0,4062490332559938;;;0,13076450092232017;;-0,3424352750809061;;-0,2858091286307054;;0,2913269303310797;;;-0,5924362357080035;-0,04245530193464542
1998;10220,0;325271,0;;;11353,0;;7132,0;;6025,0;12595,0;21980,0;;;4247,0;60205,0;0,3369963369963369;0,21052690340972524;;;0,028910639840493024;;-0,4515533681944017;;0,40018591680223103;;-0,5061007123115295;;;-0,08351316357358651;-0,3410640603281272
1999;6613,0;84853,0;11135,0;;10141,0;;12067,0;2596,0;4918,0;6549,0;19266,0;;;9568,0;91367,0;-0,3529354207436399;-0,7391313704572495;;;-0,10675592354443764;;0,6919517666853618;;-0,18373443983402493;-0,48003175863437875;-0,12347588717015467;;;1,2528843889804566;0,5175982061290592
2000;5897,0;113138,0;15144,0;;9567,0;34621,0;8969,0;2544,0;3812,0;12595,0;52372,0;;;5921,0;65067,0;-0,1082715862694692;0,3333411900581005;0,360035922766053;;-0,056601913026328776;;-0,25673323941327586;-0,02003081664098616;-0,22488816592110616;0,9231943808214995;1,7183639572303542;;;-0,38116638795986624;-0,2878500990510797
2001;8016,0;113138,0;13363,0;;10651,0;52277,0;12319,0;2985,0;4672,0;12973,0;42061,0;;;4376,0;93504,0;0,3593352552145159;0,0;-0,11760433174854723;;0,11330615657991006;0,5099794922157073;0,37350875236927195;0,17334905660377364;0,22560335781741858;0,03001190948789212;-0,1968800122202704;;;-0,2609356527613579;0,43704181843330714
2002;5096,0;70711,0;6459,0;;11799,0;63356,0;9294,0;2985,0;3443,0;14232,0;33377,0;;;2016,0;70485,0;-0,3642714570858283;-0,3750022096908201;-0,5166504527426476;;0,10778330673176217;0,21192876408363137;-0,24555564575046673;0,0;-0,26305650684931503;0,09704771448392813;-0,20646204322293815;;;-0,5393053016453382;-0,2461819815195072
2003;7243,0;98995,0;8908,0;;13904,0;58509,0;10987,0;1012,0;4058,0;13477,0;33106,0;;;10554,0;62203,0;0,42131083202511777;0,39999434317150095;0,3791608608143675;;0,1784049495719977;-0,07650419849737988;0,1821605336776415;-0,6609715242881071;0,178623293639268;-0,05304946599213045;-0,008119363633639964;;;4,2351190476190474;-0,11750017734269702
2004;6985,0;84853,0;6236,0;;12628,0;81359,0;14445,0;4491,0;2828,0;9194,0;38804,0;;20496,0;7079,0;69311,0;-0,03562059919922689;-0,1428556997828173;-0,2999550965424338;;-0,09177215189873422;0,39053820779709114;0,3147355966141805;3,437747035573122;-0,30310497782158696;-0,3178006974846034;0,17211381622666577;;;-0,3292590487019139;0,11427101586740185
2005;4666,0;98995,0;10690,0;53648,0;14797,0;51585,0;17939,0;7060,0;3320,0;14232,0;19538,0;5657,0;8403,0;7594,0;69738,0;-0,3319971367215462;0,16666470248547482;0,714239897370109;;0,17176116566360466;-0,36595828365638716;0,24188300449982703;0,5720329547984859;0,17397454031117388;0,5479660648248859;-0,4964952066797237;;-0,5900175644028103;0,07275038847294812;0,006160638282523667
