year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Denmark;Estonia;France;Germany East;Germany West;Greece;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Sweden_rendements
1980;;;;;;;;62558,0;;;;;;;;;;;;;;
1981;;;;;;;;46023,0;;;;;;;;;;;-0,26431471594360434;;;
1982;5413,0;14000,0;;;;;;34999,0;;;;;;;;;;;-0,23953240770918893;;;
1983;6658,0;22540,0;;;;;;39684,0;;;;0,23000184740439678;0,6100000000000001;;;;;;0,133860967456213;;;
1984;7037,0;24360,0;;;29983,0;;;40511,0;;;;0,056924001201561936;0,08074534161490687;;;;;;0,020839633101501942;;;
1985;7145,0;11900,0;;;29302,0;;;26456,0;;;;0,01534744919710107;-0,5114942528735632;;;-0,022712870626688475;;;-0,3469428056577226;;;
1986;5250,0;12880,0;;;24872,0;;;38031,0;;;;-0,26522043386983907;0,08235294117647052;;;-0,15118421950720085;;;0,4375188993045056;;;
1987;8769,0;11200,0;;;30324,0;;;34173,0;;;;0,6702857142857144;-0,13043478260869568;;;0,21920231585718875;;;-0,10144355920170389;;;
1988;7199,0;12040,0;;;28620,0;;;29488,0;;;;-0,17903979929296387;0,07499999999999996;;;-0,05619311436485952;;;-0,13709653820267464;;;
1989;8119,0;13440,0;;;28279,0;;;33897,0;;;58092,0;0,12779552715654963;0,11627906976744184;;;-0,011914744933612886;;;0,14951844818231153;;;
1990;2111,0;11480,0;;;34072,0;;;29763,0;18091,0;;39503,0;-0,739992609927331;-0,14583333333333337;;;0,20485165670638983;;;-0,12195769537127177;;;-0,3199924258073401
1991;1624,0;15680,0;;;36457,0;;;34448,0;15377,0;;54363,0;-0,23069635243960207;0,36585365853658547;;;0,06999882601549667;;;0,15741020730437127;-0,1500193466364491;;0,3761739614712807
1992;2490,0;11760,0;;;40545,0;;;36653,0;10131,0;;47840,0;0,5332512315270936;-0,25;;;0,11213210083111602;;;0,06400952159777051;-0,341158873642453;;-0,1199896988760738
1993;5034,0;15540,0;;;42590,0;;;27559,0;16282,0;;49300,0;1,0216867469879518;0,3214285714285714;;;0,050437785176963956;;;-0,2481106594276048;0,607146382390682;;0,03051839464882944
1994;4222,0;14980,0;;;33731,0;;;41889,0;14835,0;11042,0;46128,0;-0,16130313865713153;-0,036036036036036;;;-0,20800657431321912;;;0,5199753256649371;-0,08887114605085367;;-0,06434077079107503
1995;6928,0;19180,0;;;35434,0;;;42165,0;12483,0;13912,0;48436,0;0,6409284699194695;0,28037383177570097;;;0,050487681954285435;;;0,0065888419394113384;-0,1585439838220425;0,2599166817605507;0,05003468609087758
1996;8227,0;12740,0;;;31687,0;;;34724,0;12664,0;9165,0;53382,0;0,1875;-0,33576642335766427;;;-0,10574589377434107;;;-0,1764733783944029;0,01449971961868135;-0,34121621621621623;0,10211412998596092
1997;1786,0;13020,0;;;33049,0;;;37204,0;10493,0;8281,0;44772,0;-0,7829099307159353;0,0219780219780219;;;0,04298292675229587;;;0,07142034327842417;-0,1714308275426406;-0,09645390070921989;-0,16129032258064513
1998;3627,0;9800,0;;;28279,0;;220500,0;32244,0;11759,0;9827,0;53204,0;1,030795072788354;-0,24731182795698925;;;-0,14433114466398378;;;-0,13331899795720892;0,12065186314685983;0,18669242845067013;0,18833199321004201
1999;4060,0;10640,0;;;28961,0;;277830,0;33621,0;9950,0;9054,0;52801,0;0,11938240970499026;0,08571428571428563;;;0,024116835814562032;;0,26;0,04270561965016739;-0,15383961221192277;-0,07866083240052912;-0,007574618449740611
2000;1894,0;8260,0;;7080,0;31346,0;;147735,0;27559,0;11940,0;9385,0;55080,0;-0,5334975369458128;-0,22368421052631582;;;0,08235212872483677;;-0,46825396825396826;-0,18030397668124087;0,19999999999999996;0,03655842721449076;0,04316206132459621
2001;3085,0;9100,0;26189,0;2832,0;30324,0;;138915,0;42440,0;13025,0;10158,0;64180,0;0,6288278775079197;0,10169491525423724;;-0,6;-0,032603841000446665;;-0,05970149253731338;0,5399687942233027;0,0908710217755444;0,0823654768247204;0,16521423384168488
2002;4005,0;9100,0;59449,0;5381,0;29642,0;;85995,0;32795,0;13387,0;10490,0;59399,0;0,2982171799027553;0,0;1,269998854480889;0,9000706214689265;-0,022490436617860432;;-0,38095238095238093;-0,22726201696512727;0,027792706333973127;0,03268359913368779;-0,07449361171704583
2003;4817,0;9240,0;33522,0;5168,0;29983,0;;85995,0;33346,0;13749,0;7398,0;54365,0;0,2027465667915107;0,01538461538461533;-0,4361217177748995;-0,0395837204980487;0,0115039471020848;;0,0;0,01680134166793712;0,027041159333681897;-0,2947569113441373;-0,08474890149665815
2004;5575,0;8960,0;40069,0;4673,0;29302,0;;149940,0;35826,0;12483,0;12256,0;60814,0;0,15735935229395892;-0,030303030303030276;0,19530457609927798;-0,09578173374613008;-0,022712870626688475;;0,7435897435897436;0,07437173873927905;-0,09207942395810609;0,6566639632333062;0,11862411477972956
2005;5034,0;9800,0;38498,0;5664,0;30324,0;;48510,0;47676,0;16463,0;9385,0;56614,0;-0,09704035874439465;0,09375;-0,03920736729142227;0,2120693344746416;0,03487816531294796;;-0,6764705882352942;0,3307653659353542;0,3188336137146519;-0,23425261096605743;-0,0690630446936561
2006;11800,0;10360,0;39283,0;5310,0;31687,0;;72765,0;44369,0;13749,0;13581,0;47037,0;1,3440603893524035;0,05714285714285716;0,02039066964517633;-0,0625;0,044947896055929304;;0,5;-0,06936404060743351;-0,1648545222620421;0,4470964304741609;-0,16916310453244776
2007;18349,0;11620,0;35617,0;4814,0;29302,0;38730,0;44100,0;51259,0;9407,0;10821,0;59295,0;0,5549999999999999;0,12162162162162171;-0,09332281139424181;-0,09340866290018834;-0,07526745984157546;;-0,3939393939393939;0,15528860240257836;-0,31580478580260385;-0,2032250938811575;0,2606033548057911
2008;12612,0;10920,0;36664,0;4956,0;28961,0;36794,0;94815,0;43818,0;11578,0;12035,0;57345,0;-0,31266009046814536;-0,06024096385542166;0,02939607490804952;0,029497299542999622;-0,01163743089208924;-0,04998709011102509;1,15;-0,1451647515558243;0,2307855852025087;0,11218926162092235;-0,032886415380723455
2009;14506,0;9800,0;36403,0;5168,0;25894,0;40279,0;52920,0;47401,0;11578,0;10600,0;51029,0;0,15017443704408495;-0,10256410256410253;-0,007118699541784901;0,042776432606941084;-0,1059010393287525;0,09471652986900048;-0,4418604651162791;0,08177004883837702;0,0;-0,1192355629414209;-0,11014037841136981
2010;26793,0;7980,0;38760,0;6726,0;25894,0;31371,0;68355,0;32795,0;11216,0;10931,0;52161,0;0,8470288156624846;-0,18571428571428572;0,06474741092767089;0,30147058823529416;0,0;-0,22115742694704432;0,29166666666666674;-0,30813695913588324;-0,03126619450682333;0,031226415094339544;0,022183464304611045
2011;16184,0;7000,0;39807,0;3965,0;25213,0;36794,0;35280,0;29212,0;10131,0;10158,0;42137,0;-0,39596163176949206;-0,1228070175438597;0,02701238390092886;-0,41049658043413617;-0,026299528848381826;0,17286666029135178;-0,4838709677419355;-0,10925445952126844;-0,0967368045649073;-0,07071631140792245;-0,19217422978853937
2012;16617,0;7420,0;42426,0;4673,0;24532,0;35632,0;70560,0;43267,0;9950,0;11704,0;51789,0;0,02675481957488879;0,06000000000000005;0,06579244856432287;0,17856242118537202;-0,027009875857692434;-0,03158123607109853;1,0;0,48113788853895656;-0,01786595597670515;0,15219531403819642;0,22906234425801553
2013;10230,0;7980,0;40331,0;11611,0;27939,0;41054,0;72765,0;44645,0;10131,0;10048,0;41630,0;-0,3843654089185774;0,07547169811320753;-0,04938009711026259;1,4846993366145944;0,1388798304255665;0,15216659182757075;0,03125;0,031848753091270554;0,01819095477386945;-0,1414900888585099;-0,19616134700419008
2014;15264,0;6440,0;43474,0;3752,0;25554,0;47251,0;110250,0;56220,0;10312,0;10379,0;48601,0;0,49208211143695024;-0,19298245614035092;0,07793012818923417;-0,6768581517526484;-0,08536454418554706;0,15094753251814685;0,5151515151515151;0,25926755515735245;0,01786595597670515;0,03294187898089174;0,16745135719433102
2015;9310,0;6440,0;36403,0;4319,0;27257,0;37181,0;41895,0;29763,0;10493,0;12146,0;51223,0;-0,3900681341719078;0,0;-0,1626489395960804;0,15111940298507465;0,06664318697659866;-0,21311718270512792;-0,62;-0,47059765208110993;0,017552366175329626;0,1702476153772039;0,05394950721178571
2016;10609,0;6580,0;50545,0;6514,0;26917,0;48412,0;;41062,0;10674,0;9717,0;41287,0;0,1395273899033298;0,021739130434782705;0,3884844655660247;0,5082194952535308;-0,012473859925890562;0,30206288157930117;0,0;0,3796324295265934;0,01724959496807399;-0,19998353367363741;-0,19397536263006854
