;;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom
1980;;5,00E+00;1,50E+00;9,33E+01;5,04E+01;0,00E+00;1,09E+02;8,14E-02;5,51E+00;1,03E+00;9,00E+01;3,32E+00;4,66E-01;0,00E+00;3,29E+01;3,87E-01;1,36E+01;0,00E+00;2,20E+01;4,59E-01;0,00E+00;1,93E+00;8,41E+01;2,34E+01;2,70E+02;2,28E+01;5,56E-01;5,62E+00;7,11E-01;1,48E+02;6,15E+00;9,21E-01
1981;;5,00E+00;1,50E+00;9,33E+01;5,04E+01;0,00E+00;1,09E+02;8,14E-02;5,51E+00;1,03E+00;9,00E+01;3,32E+00;4,66E-01;0,00E+00;3,29E+01;3,87E-01;1,36E+01;0,00E+00;2,20E+01;4,59E-01;0,00E+00;1,93E+00;8,41E+01;2,34E+01;2,70E+02;2,28E+01;5,56E-01;5,62E+00;7,11E-01;1,48E+02;6,15E+00;9,21E-01
1982;;5,00E+00;1,50E+00;9,33E+01;5,04E+01;0,00E+00;1,09E+02;8,14E-02;5,51E+00;1,03E+00;9,00E+01;3,32E+00;4,66E-01;0,00E+00;3,29E+01;3,87E-01;1,36E+01;0,00E+00;2,20E+01;4,59E-01;0,00E+00;1,93E+00;8,41E+01;2,34E+01;2,70E+02;2,28E+01;5,56E-01;5,62E+00;7,11E-01;1,48E+02;6,15E+00;9,21E-01
1983;;5,00E+00;1,50E+00;9,33E+01;5,04E+01;0,00E+00;1,09E+02;8,14E-02;5,51E+00;1,03E+00;9,00E+01;3,32E+00;4,66E-01;0,00E+00;3,29E+01;3,87E-01;1,36E+01;0,00E+00;2,20E+01;4,59E-01;0,00E+00;1,93E+00;8,41E+01;2,34E+01;2,70E+02;2,28E+01;5,56E-01;5,62E+00;7,11E-01;1,48E+02;6,15E+00;9,21E-01
1984;;5,00E+00;1,50E+00;9,33E+01;5,04E+01;0,00E+00;1,09E+02;8,14E-02;5,51E+00;1,03E+00;9,00E+01;3,32E+00;4,66E-01;0,00E+00;3,29E+01;3,87E-01;1,36E+01;0,00E+00;2,20E+01;4,59E-01;0,00E+00;1,93E+00;8,41E+01;2,34E+01;2,70E+02;2,28E+01;5,56E-01;5,62E+00;7,11E-01;1,48E+02;6,15E+00;9,21E-01
1985;;5,00E+00;1,50E+00;9,33E+01;5,04E+01;0,00E+00;1,09E+02;8,14E-02;5,51E+00;1,03E+00;9,00E+01;3,32E+00;4,66E-01;0,00E+00;3,29E+01;3,87E-01;1,36E+01;0,00E+00;2,20E+01;4,59E-01;0,00E+00;1,93E+00;8,41E+01;2,34E+01;2,70E+02;2,28E+01;5,56E-01;5,62E+00;7,11E-01;1,48E+02;6,15E+00;9,21E-01
1986;;5,00E+00;1,50E+00;9,33E+01;5,04E+01;0,00E+00;1,09E+02;8,14E-02;5,51E+00;1,03E+00;9,00E+01;3,32E+00;4,66E-01;0,00E+00;3,29E+01;3,87E-01;1,36E+01;0,00E+00;2,20E+01;4,59E-01;0,00E+00;1,93E+00;8,41E+01;2,34E+01;2,70E+02;2,28E+01;5,56E-01;5,62E+00;7,11E-01;1,48E+02;6,15E+00;9,21E-01
1987;;5,00E+00;1,50E+00;9,33E+01;5,04E+01;0,00E+00;1,09E+02;8,14E-02;5,51E+00;1,03E+00;9,00E+01;3,32E+00;4,66E-01;0,00E+00;3,29E+01;3,87E-01;1,36E+01;0,00E+00;2,20E+01;4,59E-01;0,00E+00;1,93E+00;8,41E+01;2,34E+01;2,70E+02;2,28E+01;5,56E-01;5,62E+00;7,11E-01;1,48E+02;6,15E+00;9,21E-01
1988;;5,00E+00;1,50E+00;9,33E+01;5,04E+01;0,00E+00;1,09E+02;8,14E-02;5,51E+00;1,03E+00;9,00E+01;3,32E+00;4,66E-01;0,00E+00;3,29E+01;3,87E-01;1,36E+01;0,00E+00;2,20E+01;4,59E-01;0,00E+00;1,93E+00;8,41E+01;2,34E+01;2,70E+02;2,28E+01;5,56E-01;5,62E+00;7,11E-01;1,48E+02;6,15E+00;9,21E-01
1989;;5,00E+00;1,50E+00;9,33E+01;5,04E+01;0,00E+00;1,09E+02;8,14E-02;5,51E+00;1,03E+00;9,00E+01;3,32E+00;4,66E-01;0,00E+00;3,29E+01;3,87E-01;1,36E+01;0,00E+00;2,20E+01;4,59E-01;0,00E+00;1,93E+00;8,41E+01;2,34E+01;2,70E+02;2,28E+01;5,56E-01;5,62E+00;7,11E-01;1,48E+02;6,15E+00;9,21E-01
