;;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom
1980;;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1981;;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1982;;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1983;;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1984;;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1985;;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1986;;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1987;;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1988;;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1989;;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1990;for_1990;4,50E-01;2,19E-01;3,00E-01;2,11E-01;1,74E-01;3,34E-01;1,24E-01;4,88E-01;6,46E-01;2,63E-01;3,16E-01;2,50E-01;1,95E-01;1,66E-03;6,57E-02;2,51E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,31E-02;3,15E-01;2,84E-01;3,69E-01;2,67E-01;3,88E-01;5,79E-01;2,75E-01;5,31E-01;2,79E-01;1,14E-01
1991;for_1991;4,51E-01;2,19E-01;3,00E-01;2,11E-01;1,75E-01;3,34E-01;1,25E-01;4,88E-01;6,48E-01;2,64E-01;3,16E-01;2,52E-01;1,96E-01;1,78E-03;6,81E-02;2,54E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,35E-02;3,15E-01;2,85E-01;3,67E-01;2,67E-01;3,88E-01;5,79E-01;2,81E-01;5,31E-01;2,80E-01;1,15E-01
1992;for_1992;4,52E-01;2,19E-01;3,01E-01;2,11E-01;1,76E-01;3,34E-01;1,26E-01;4,88E-01;6,50E-01;2,66E-01;3,16E-01;2,55E-01;1,97E-01;1,91E-03;7,05E-02;2,56E-01;4,93E-01;3,00E-01;3,35E-01;1,09E-02;8,38E-02;3,15E-01;2,85E-01;3,66E-01;2,67E-01;3,88E-01;5,79E-01;2,87E-01;5,31E-01;2,81E-01;1,15E-01
1993;for_1993;4,52E-01;2,19E-01;3,01E-01;2,11E-01;1,78E-01;3,34E-01;1,27E-01;4,89E-01;6,51E-01;2,68E-01;3,16E-01;2,57E-01;1,98E-01;2,03E-03;7,29E-02;2,59E-01;4,94E-01;3,01E-01;3,35E-01;1,09E-02;8,42E-02;3,15E-01;2,86E-01;3,65E-01;2,67E-01;3,88E-01;5,81E-01;2,94E-01;5,32E-01;2,82E-01;1,16E-01
1994;for_1994;4,53E-01;2,19E-01;3,01E-01;2,12E-01;1,79E-01;3,34E-01;1,28E-01;4,89E-01;6,53E-01;2,69E-01;3,17E-01;2,59E-01;2,00E-01;2,15E-03;7,53E-02;2,62E-01;4,95E-01;3,03E-01;3,35E-01;1,09E-02;8,45E-02;3,15E-01;2,86E-01;3,63E-01;2,67E-01;3,88E-01;5,83E-01;3,00E-01;5,32E-01;2,83E-01;1,17E-01
1995;for_1995;4,54E-01;2,19E-01;3,02E-01;2,12E-01;1,80E-01;3,34E-01;1,28E-01;4,90E-01;6,55E-01;2,71E-01;3,17E-01;2,61E-01;2,01E-01;2,28E-03;7,77E-02;2,64E-01;4,96E-01;3,04E-01;3,35E-01;1,09E-02;8,48E-02;3,15E-01;2,87E-01;3,62E-01;2,67E-01;3,88E-01;5,85E-01;3,06E-01;5,32E-01;2,85E-01;1,18E-01
1996;for_1996;4,55E-01;2,19E-01;3,02E-01;2,12E-01;1,81E-01;3,34E-01;1,29E-01;4,91E-01;6,56E-01;2,72E-01;3,17E-01;2,64E-01;2,02E-01;2,40E-03;8,01E-02;2,67E-01;4,98E-01;3,05E-01;3,35E-01;1,09E-02;8,52E-02;3,15E-01;2,87E-01;3,61E-01;2,67E-01;3,88E-01;5,88E-01;3,13E-01;5,32E-01;2,86E-01;1,18E-01
1997;for_1997;4,55E-01;2,19E-01;3,03E-01;2,13E-01;1,82E-01;3,34E-01;1,30E-01;4,92E-01;6,58E-01;2,74E-01;3,17E-01;2,66E-01;2,03E-01;2,52E-03;8,25E-02;2,69E-01;4,99E-01;3,06E-01;3,35E-01;1,09E-02;8,55E-02;3,15E-01;2,88E-01;3,60E-01;2,67E-01;3,88E-01;5,90E-01;3,19E-01;5,32E-01;2,87E-01;1,19E-01
1998;for_1998;4,56E-01;2,19E-01;3,03E-01;2,13E-01;1,83E-01;3,34E-01;1,31E-01;4,92E-01;6,60E-01;2,75E-01;3,17E-01;2,68E-01;2,04E-01;2,65E-03;8,49E-02;2,72E-01;5,00E-01;3,07E-01;3,35E-01;1,09E-02;8,59E-02;3,15E-01;2,89E-01;3,58E-01;2,67E-01;3,88E-01;5,92E-01;3,25E-01;5,33E-01;2,88E-01;1,20E-01
1999;for_1999;4,57E-01;2,19E-01;3,04E-01;2,14E-01;1,84E-01;3,34E-01;1,32E-01;4,93E-01;6,62E-01;2,77E-01;3,17E-01;2,71E-01;2,05E-01;2,77E-03;8,73E-02;2,74E-01;5,01E-01;3,08E-01;3,35E-01;1,09E-02;8,62E-02;3,15E-01;2,89E-01;3,57E-01;2,67E-01;3,88E-01;5,94E-01;3,32E-01;5,33E-01;2,89E-01;1,21E-01
2000;for_2000;4,58E-01;2,19E-01;3,04E-01;2,14E-01;1,86E-01;3,34E-01;1,33E-01;4,94E-01;6,63E-01;2,78E-01;3,18E-01;2,73E-01;2,07E-01;2,90E-03;8,97E-02;2,77E-01;5,02E-01;3,09E-01;3,35E-01;1,09E-02;8,65E-02;3,14E-01;2,90E-01;3,56E-01;2,67E-01;3,88E-01;5,96E-01;3,38E-01;5,33E-01;2,90E-01;1,21E-01
2001;for_2001;4,58E-01;2,19E-01;3,07E-01;2,14E-01;1,86E-01;3,35E-01;1,34E-01;4,96E-01;6,63E-01;2,80E-01;3,18E-01;2,75E-01;2,08E-01;3,04E-03;9,10E-02;2,79E-01;5,04E-01;3,12E-01;3,36E-01;1,09E-02;8,69E-02;3,14E-01;2,91E-01;3,55E-01;2,68E-01;3,88E-01;5,97E-01;3,41E-01;5,33E-01;2,91E-01;1,22E-01
2002;for_2002;4,58E-01;2,20E-01;3,11E-01;2,15E-01;1,86E-01;3,35E-01;1,34E-01;4,98E-01;6,62E-01;2,83E-01;3,18E-01;2,77E-01;2,09E-01;3,18E-03;9,23E-02;2,81E-01;5,06E-01;3,14E-01;3,36E-01;1,09E-02;8,72E-02;3,14E-01;2,91E-01;3,55E-01;2,68E-01;3,88E-01;5,98E-01;3,44E-01;5,33E-01;2,92E-01;1,22E-01
2003;for_2003;4,58E-01;2,21E-01;3,14E-01;2,15E-01;1,86E-01;3,35E-01;1,34E-01;5,00E-01;6,61E-01;2,85E-01;3,18E-01;2,80E-01;2,11E-01;3,33E-03;9,35E-02;2,84E-01;5,08E-01;3,16E-01;3,37E-01;1,09E-02;8,76E-02;3,14E-01;2,92E-01;3,55E-01;2,69E-01;3,89E-01;5,98E-01;3,46E-01;5,32E-01;2,92E-01;1,23E-01
2004;for_2004;4,59E-01;2,22E-01;3,17E-01;2,16E-01;1,86E-01;3,35E-01;1,35E-01;5,02E-01;6,61E-01;2,87E-01;3,18E-01;2,82E-01;2,12E-01;3,47E-03;9,48E-02;2,86E-01;5,10E-01;3,19E-01;3,38E-01;1,09E-02;8,79E-02;3,14E-01;2,93E-01;3,55E-01;2,70E-01;3,89E-01;5,99E-01;3,49E-01;5,32E-01;2,93E-01;1,23E-01
