;;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom
1980;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1981;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1982;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1983;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1984;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1985;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1986;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1987;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1988;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1989;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1990;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1991;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1992;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1993;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1994;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1995;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1996;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1997;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
1998;;8,08E-02;3,51E-01;1,98E-02;3,56E-02;4,11E-02;8,19E-02;3,89E-01;7,67E-03;2,13E-02;1,86E-01;2,86E-01;7,08E-02;6,98E-02;0,00E+00;1,85E-01;1,08E-01;1,11E-02;1,17E-02;2,33E-01;1,49E-01;3,40E-01;0,00E+00;1,57E-01;3,54E-02;7,16E-02;4,60E-03;6,63E-02;5,21E-02;1,71E-02;0,00E+00;2,50E-01
