;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom
1980;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1981;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1982;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1983;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1984;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1985;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1986;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1987;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1988;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1989;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1990;2,43E-01;8,50E-02;2,07E-01;2,01E-01;1,48E-01;4,55E-03;3,25E-02;4,45E-01;5,17E-01;2,35E-01;1,58E-01;2,41E-01;1,35E-01;1,02E-03;1,16E-02;2,34E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,20E-02;3,11E-01;6,57E-02;1,44E-01;2,45E-01;2,36E-01;5,61E-01;2,36E-01;3,78E-01;2,35E-01;1,41E-02
1991;2,44E-01;8,50E-02;2,08E-01;2,01E-01;1,49E-01;4,55E-03;3,25E-02;4,45E-01;5,16E-01;2,37E-01;1,58E-01;2,43E-01;1,35E-01;1,02E-03;1,16E-02;2,36E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,19E-02;3,11E-01;6,57E-02;1,40E-01;2,45E-01;2,36E-01;5,61E-01;2,42E-01;3,74E-01;2,37E-01;1,41E-02
1992;2,46E-01;8,50E-02;2,09E-01;2,01E-01;1,49E-01;4,55E-03;3,25E-02;4,45E-01;5,16E-01;2,38E-01;1,58E-01;2,45E-01;1,35E-01;1,03E-03;1,16E-02;2,38E-01;4,44E-01;2,36E-01;2,27E-01;1,09E-02;1,18E-02;3,11E-01;6,57E-02;1,37E-01;2,45E-01;2,36E-01;5,61E-01;2,47E-01;3,70E-01;2,38E-01;1,41E-02
1993;2,47E-01;8,50E-02;2,11E-01;2,01E-01;1,50E-01;4,55E-03;3,25E-02;4,45E-01;5,15E-01;2,39E-01;1,58E-01;2,48E-01;1,35E-01;1,03E-03;1,16E-02;2,41E-01;4,45E-01;2,36E-01;2,27E-01;1,09E-02;1,17E-02;3,11E-01;6,57E-02;1,34E-01;2,45E-01;2,36E-01;5,63E-01;2,53E-01;3,66E-01;2,39E-01;1,41E-02
1994;2,48E-01;8,50E-02;2,12E-01;2,02E-01;1,51E-01;4,76E-03;3,25E-02;4,46E-01;5,14E-01;2,41E-01;1,58E-01;2,50E-01;1,35E-01;1,04E-03;1,16E-02;2,43E-01;4,46E-01;2,36E-01;2,27E-01;1,09E-02;1,16E-02;3,11E-01;6,57E-02;1,30E-01;2,45E-01;2,36E-01;5,64E-01;2,58E-01;3,62E-01;2,40E-01;1,41E-02
1995;2,50E-01;8,50E-02;2,13E-01;2,02E-01;1,52E-01;4,96E-03;3,25E-02;4,47E-01;5,14E-01;2,42E-01;1,58E-01;2,52E-01;1,35E-01;1,04E-03;1,16E-02;2,46E-01;4,47E-01;2,36E-01;2,27E-01;1,09E-02;1,15E-02;3,11E-01;6,57E-02;1,27E-01;2,45E-01;2,36E-01;5,66E-01;2,63E-01;3,58E-01;2,42E-01;1,41E-02
1996;2,51E-01;8,50E-02;2,15E-01;2,03E-01;1,53E-01;5,17E-03;3,25E-02;4,47E-01;5,13E-01;2,44E-01;1,58E-01;2,54E-01;1,35E-01;1,05E-03;1,16E-02;2,48E-01;4,48E-01;2,37E-01;2,27E-01;1,09E-02;1,14E-02;3,11E-01;6,57E-02;1,23E-01;2,45E-01;2,35E-01;5,67E-01;2,69E-01;3,54E-01;2,43E-01;1,41E-02
1997;2,53E-01;8,50E-02;2,16E-01;2,03E-01;1,53E-01;5,37E-03;3,25E-02;4,48E-01;5,13E-01;2,45E-01;1,59E-01;2,56E-01;1,35E-01;1,05E-03;1,16E-02;2,50E-01;4,49E-01;2,37E-01;2,27E-01;1,09E-02;1,13E-02;3,11E-01;6,57E-02;1,20E-01;2,45E-01;2,35E-01;5,69E-01;2,74E-01;3,50E-01;2,44E-01;1,41E-02
1998;2,54E-01;8,50E-02;2,17E-01;2,04E-01;1,54E-01;5,58E-03;3,25E-02;4,49E-01;5,12E-01;2,47E-01;1,59E-01;2,59E-01;1,35E-01;1,05E-03;1,16E-02;2,53E-01;4,50E-01;2,37E-01;2,27E-01;1,09E-02;1,13E-02;3,11E-01;6,57E-02;1,17E-01;2,45E-01;2,35E-01;5,70E-01;2,80E-01;3,46E-01;2,46E-01;1,41E-02
1999;2,55E-01;8,50E-02;2,19E-01;2,04E-01;1,55E-01;5,78E-03;3,25E-02;4,49E-01;5,12E-01;2,48E-01;1,59E-01;2,61E-01;1,35E-01;1,06E-03;1,16E-02;2,55E-01;4,51E-01;2,38E-01;2,27E-01;1,09E-02;1,12E-02;3,11E-01;6,57E-02;1,13E-01;2,45E-01;2,34E-01;5,72E-01;2,85E-01;3,42E-01;2,47E-01;1,41E-02
2000;2,57E-01;8,50E-02;2,20E-01;2,05E-01;1,56E-01;5,99E-03;3,25E-02;4,50E-01;5,11E-01;2,50E-01;1,59E-01;2,63E-01;1,35E-01;1,06E-03;1,16E-02;2,57E-01;4,52E-01;2,38E-01;2,27E-01;1,09E-02;1,11E-02;3,11E-01;6,57E-02;1,10E-01;2,45E-01;2,34E-01;5,73E-01;2,91E-01;3,38E-01;2,48E-01;1,41E-02
