;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom
1980;2,07E-01;1,34E-01;9,30E-02;1,02E-02;2,63E-02;3,29E-01;1,04E-01;4,32E-02;1,30E-01;2,78E-02;1,58E-01;8,92E-03;8,53E-02;6,37E-04;5,41E-02;1,75E-02;4,89E-02;6,46E-02;1,08E-01;9,38E-04;7,11E-02;2,99E-03;2,36E-01;2,25E-01;2,21E-02;1,52E-01;1,78E-02;3,84E-02;1,53E-01;4,42E-02;9,99E-02
1981;2,07E-01;1,34E-01;9,30E-02;1,02E-02;2,63E-02;3,29E-01;1,04E-01;4,32E-02;1,30E-01;2,78E-02;1,58E-01;8,92E-03;8,53E-02;6,37E-04;5,41E-02;1,75E-02;4,89E-02;6,46E-02;1,08E-01;9,38E-04;7,11E-02;2,99E-03;2,36E-01;2,25E-01;2,21E-02;1,52E-01;1,78E-02;3,84E-02;1,53E-01;4,42E-02;9,99E-02
1982;2,07E-01;1,34E-01;9,30E-02;1,02E-02;2,63E-02;3,29E-01;1,04E-01;4,32E-02;1,30E-01;2,78E-02;1,58E-01;8,92E-03;8,53E-02;6,37E-04;5,41E-02;1,75E-02;4,89E-02;6,46E-02;1,08E-01;9,38E-04;7,11E-02;2,99E-03;2,36E-01;2,25E-01;2,21E-02;1,52E-01;1,78E-02;3,84E-02;1,53E-01;4,42E-02;9,99E-02
1983;2,07E-01;1,34E-01;9,30E-02;1,02E-02;2,63E-02;3,29E-01;1,04E-01;4,32E-02;1,30E-01;2,78E-02;1,58E-01;8,92E-03;8,53E-02;6,37E-04;5,41E-02;1,75E-02;4,89E-02;6,46E-02;1,08E-01;9,38E-04;7,11E-02;2,99E-03;2,36E-01;2,25E-01;2,21E-02;1,52E-01;1,78E-02;3,84E-02;1,53E-01;4,42E-02;9,99E-02
1984;2,07E-01;1,34E-01;9,30E-02;1,02E-02;2,63E-02;3,29E-01;1,04E-01;4,32E-02;1,30E-01;2,78E-02;1,58E-01;8,92E-03;8,53E-02;6,37E-04;5,41E-02;1,75E-02;4,89E-02;6,46E-02;1,08E-01;9,38E-04;7,11E-02;2,99E-03;2,36E-01;2,25E-01;2,21E-02;1,52E-01;1,78E-02;3,84E-02;1,53E-01;4,42E-02;9,99E-02
1985;2,07E-01;1,34E-01;9,30E-02;1,02E-02;2,63E-02;3,29E-01;1,04E-01;4,32E-02;1,30E-01;2,78E-02;1,58E-01;8,92E-03;8,53E-02;6,37E-04;5,41E-02;1,75E-02;4,89E-02;6,46E-02;1,08E-01;9,38E-04;7,11E-02;2,99E-03;2,36E-01;2,25E-01;2,21E-02;1,52E-01;1,78E-02;3,84E-02;1,53E-01;4,42E-02;9,99E-02
1986;2,07E-01;1,34E-01;9,30E-02;1,02E-02;2,63E-02;3,29E-01;1,04E-01;4,32E-02;1,30E-01;2,78E-02;1,58E-01;8,92E-03;8,53E-02;6,37E-04;5,41E-02;1,75E-02;4,89E-02;6,46E-02;1,08E-01;9,38E-04;7,11E-02;2,99E-03;2,36E-01;2,25E-01;2,21E-02;1,52E-01;1,78E-02;3,84E-02;1,53E-01;4,42E-02;9,99E-02
1987;2,07E-01;1,34E-01;9,30E-02;1,02E-02;2,63E-02;3,29E-01;1,04E-01;4,32E-02;1,30E-01;2,78E-02;1,58E-01;8,92E-03;8,53E-02;6,37E-04;5,41E-02;1,75E-02;4,89E-02;6,46E-02;1,08E-01;9,38E-04;7,11E-02;2,99E-03;2,36E-01;2,25E-01;2,21E-02;1,52E-01;1,78E-02;3,84E-02;1,53E-01;4,42E-02;9,99E-02
1988;2,07E-01;1,34E-01;9,30E-02;1,02E-02;2,63E-02;3,29E-01;1,04E-01;4,32E-02;1,30E-01;2,78E-02;1,58E-01;8,92E-03;8,53E-02;6,37E-04;5,41E-02;1,75E-02;4,89E-02;6,46E-02;1,08E-01;9,38E-04;7,11E-02;2,99E-03;2,36E-01;2,25E-01;2,21E-02;1,52E-01;1,78E-02;3,84E-02;1,53E-01;4,42E-02;9,99E-02
1989;2,07E-01;1,34E-01;9,30E-02;1,02E-02;2,63E-02;3,29E-01;1,04E-01;4,32E-02;1,30E-01;2,78E-02;1,58E-01;8,92E-03;8,53E-02;6,37E-04;5,41E-02;1,75E-02;4,89E-02;6,46E-02;1,08E-01;9,38E-04;7,11E-02;2,99E-03;2,36E-01;2,25E-01;2,21E-02;1,52E-01;1,78E-02;3,84E-02;1,53E-01;4,42E-02;9,99E-02
