;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom
1980;2,94E+06;1,39E+06;5,58E+06;1,17E+06;1,42E+05;4,28E+06;2,65E+06;9,86E+05;2,22E+06;2,98E+07;1,71E+07;8,53E+06;5,85E+06;1,89E+06;4,41E+06;1,56E+07;1,59E+06;3,42E+06;1,28E+05;9,00E+03;1,96E+06;1,04E+06;1,84E+07;3,96E+06;1,49E+07;2,44E+06;5,18E+05;2,98E+07;2,97E+06;1,57E+06;1,70E+07
1981;2,94E+06;1,39E+06;5,58E+06;1,17E+06;1,42E+05;4,28E+06;2,65E+06;9,86E+05;2,22E+06;2,98E+07;1,71E+07;8,53E+06;5,85E+06;1,89E+06;4,41E+06;1,56E+07;1,59E+06;3,42E+06;1,28E+05;9,00E+03;1,96E+06;1,04E+06;1,84E+07;3,96E+06;1,49E+07;2,44E+06;5,18E+05;2,98E+07;2,97E+06;1,57E+06;1,70E+07
1982;2,94E+06;1,39E+06;5,58E+06;1,17E+06;1,42E+05;4,28E+06;2,65E+06;9,86E+05;2,22E+06;2,98E+07;1,71E+07;8,53E+06;5,85E+06;1,89E+06;4,41E+06;1,56E+07;1,59E+06;3,42E+06;1,28E+05;9,00E+03;1,96E+06;1,04E+06;1,84E+07;3,96E+06;1,49E+07;2,44E+06;5,18E+05;2,98E+07;2,97E+06;1,57E+06;1,70E+07
1983;2,94E+06;1,39E+06;5,58E+06;1,17E+06;1,42E+05;4,28E+06;2,65E+06;9,86E+05;2,22E+06;2,98E+07;1,71E+07;8,53E+06;5,85E+06;1,89E+06;4,41E+06;1,56E+07;1,59E+06;3,42E+06;1,28E+05;9,00E+03;1,96E+06;1,04E+06;1,84E+07;3,96E+06;1,49E+07;2,44E+06;5,18E+05;2,98E+07;2,97E+06;1,57E+06;1,70E+07
1984;2,94E+06;1,39E+06;5,58E+06;1,17E+06;1,42E+05;4,28E+06;2,65E+06;9,86E+05;2,22E+06;2,98E+07;1,71E+07;8,53E+06;5,85E+06;1,89E+06;4,41E+06;1,56E+07;1,59E+06;3,42E+06;1,28E+05;9,00E+03;1,96E+06;1,04E+06;1,84E+07;3,96E+06;1,49E+07;2,44E+06;5,18E+05;2,98E+07;2,97E+06;1,57E+06;1,70E+07
1985;2,94E+06;1,39E+06;5,58E+06;1,17E+06;1,42E+05;4,28E+06;2,65E+06;9,86E+05;2,22E+06;2,98E+07;1,71E+07;8,53E+06;5,85E+06;1,89E+06;4,41E+06;1,56E+07;1,59E+06;3,42E+06;1,28E+05;9,00E+03;1,96E+06;1,04E+06;1,84E+07;3,96E+06;1,49E+07;2,44E+06;5,18E+05;2,98E+07;2,97E+06;1,57E+06;1,70E+07
1986;2,94E+06;1,39E+06;5,58E+06;1,17E+06;1,42E+05;4,28E+06;2,65E+06;9,86E+05;2,22E+06;2,98E+07;1,71E+07;8,53E+06;5,85E+06;1,89E+06;4,41E+06;1,56E+07;1,59E+06;3,42E+06;1,28E+05;9,00E+03;1,96E+06;1,04E+06;1,84E+07;3,96E+06;1,49E+07;2,44E+06;5,18E+05;2,98E+07;2,97E+06;1,57E+06;1,70E+07
1987;2,94E+06;1,39E+06;5,58E+06;1,17E+06;1,42E+05;4,28E+06;2,65E+06;9,86E+05;2,22E+06;2,98E+07;1,71E+07;8,53E+06;5,85E+06;1,89E+06;4,41E+06;1,56E+07;1,59E+06;3,42E+06;1,28E+05;9,00E+03;1,96E+06;1,04E+06;1,84E+07;3,96E+06;1,49E+07;2,44E+06;5,18E+05;2,98E+07;2,97E+06;1,57E+06;1,70E+07
1988;2,94E+06;1,39E+06;5,58E+06;1,17E+06;1,42E+05;4,28E+06;2,65E+06;9,86E+05;2,22E+06;2,98E+07;1,71E+07;8,53E+06;5,85E+06;1,89E+06;4,41E+06;1,56E+07;1,59E+06;3,42E+06;1,28E+05;9,00E+03;1,96E+06;1,04E+06;1,84E+07;3,96E+06;1,49E+07;2,44E+06;5,18E+05;2,98E+07;2,97E+06;1,57E+06;1,70E+07
1989;2,94E+06;1,39E+06;5,58E+06;1,17E+06;1,42E+05;4,28E+06;2,65E+06;9,86E+05;2,22E+06;2,98E+07;1,71E+07;8,53E+06;5,85E+06;1,89E+06;4,41E+06;1,56E+07;1,59E+06;3,42E+06;1,28E+05;9,00E+03;1,96E+06;1,04E+06;1,84E+07;3,96E+06;1,49E+07;2,44E+06;5,18E+05;2,98E+07;2,97E+06;1,57E+06;1,70E+07
