;;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom
1980;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1981;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1982;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1983;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1984;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1985;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1986;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1987;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1988;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1989;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1990;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1991;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1992;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1993;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1994;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1995;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1996;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1997;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1998;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
1999;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2000;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2001;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2002;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2003;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2004;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2005;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2006;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2007;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2008;;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2009;urb_2009;3,90E+00;9,90E+00;1,70E+00;3,70E+00;5,10E+00;4,30E+00;6,40E+00;1,80E+00;1,50E+00;5,10E+00;6,80E+00;2,90E+00;3,60E+00;0,00E+00;3,70E+00;6,60E+00;1,50E+00;2,60E+00;8,90E+00;2,38E+01;1,08E+01;0,00E+00;3,20E+00;5,10E+00;2,00E+00;2,60E+00;3,00E+00;3,20E+00;1,50E+00;0,00E+00;6,00E+00
2010;urb_2010;4,00E+00;1,02E+01;1,70E+00;3,70E+00;5,10E+00;4,33E+00;6,50E+00;1,83E+00;1,53E+00;5,13E+00;6,90E+00;3,03E+00;3,67E+00;0,00E+00;3,73E+00;6,67E+00;1,53E+00;2,63E+00;9,17E+00;2,38E+01;1,10E+01;0,00E+00;3,23E+00;5,13E+00;2,00E+00;2,67E+00;3,07E+00;3,23E+00;1,50E+00;0,00E+00;6,07E+00
