Unnamed: 1,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Belgium_rendements,Bulgaria_rendements,Croatia_rendements,Cyprus_rendements,Czech Republic_rendements,Denmark_rendements,Estonia_rendements,Finland_rendements,France_rendements,Germany_rendements,Greece_rendements,Hungary_rendements,Iceland_rendements,Ireland_rendements,Italy_rendements,Latvia_rendements,Lithuania_rendements,Luxembourg_rendements,Malta_rendements,Netherlands_rendements,Norway_rendements,Poland_rendements,Portugal_rendements,Romania_rendements,Slovakia_rendements,Slovenia_rendements,Spain_rendements,Sweden_rendements,Switzerland_rendements,United Kingdom_rendements
,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nat_1990,0.243,0.085,0.207,0.201,0.148,0.00455,0.0325,0.445,0.517,0.235,0.158,0.241,0.135,0.00102,0.0116,0.234,0.444,0.236,0.227,0.0109,0.012,0.311,0.0657,0.144,0.245,0.236,0.561,0.236,0.378,0.235,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nat_1991,0.244,0.085,0.208,0.201,0.149,0.00455,0.0325,0.445,0.516,0.237,0.158,0.243,0.135,0.00102,0.0116,0.236,0.444,0.236,0.227,0.0109,0.0119,0.311,0.0657,0.14,0.245,0.236,0.561,0.242,0.374,0.237,0.0141,0.0,0.004830917874396157,0.0,0.006756756756756799,0.0,0.0,0.0,-0.0019342359767892114,0.008510638297872353,0.0,0.008298755186721962,0.0,0.0,0.0,0.008547008547008517,0.0,0.0,0.0,0.0,-0.008333333333333304,0.0,0.0,-0.027777777777777568,0.0,0.0,0.0,0.025423728813559254,-0.010582010582010581,0.008510638297872353,0.0
nat_1992,0.246,0.085,0.209,0.201,0.149,0.00455,0.0325,0.445,0.516,0.238,0.158,0.245,0.135,0.00103,0.0116,0.238,0.444,0.236,0.227,0.0109,0.0118,0.311,0.0657,0.137,0.245,0.236,0.561,0.247,0.37,0.238,0.0141,0.0,0.004807692307692291,0.0,0.0,0.0,0.0,0.0,0.0,0.00421940928270037,0.0,0.008230452674897082,0.0,0.009803921568627416,0.0,0.008474576271186418,0.0,0.0,0.0,0.0,-0.008403361344537896,0.0,0.0,-0.021428571428571463,0.0,0.0,0.0,0.02066115702479343,-0.010695187165775444,0.00421940928270037,0.0
nat_1993,0.247,0.085,0.211,0.201,0.15,0.00455,0.0325,0.445,0.515,0.239,0.158,0.248,0.135,0.00103,0.0116,0.241,0.445,0.236,0.227,0.0109,0.0117,0.311,0.0657,0.134,0.245,0.236,0.563,0.253,0.366,0.239,0.0141,0.0,0.009569377990430672,0.0,0.006711409395973256,0.0,0.0,0.0,-0.0019379844961240345,0.004201680672268893,0.0,0.012244897959183598,0.0,0.0,0.0,0.012605042016806678,0.0022522522522523403,0.0,0.0,0.0,-0.008474576271186418,0.0,0.0,-0.021897810218978075,0.0,0.0,0.0035650623885916666,0.02429149797570851,-0.010810810810810811,0.004201680672268893,0.0
nat_1994,0.248,0.085,0.212,0.202,0.151,0.00476,0.0325,0.446,0.514,0.241,0.158,0.25,0.135,0.00104,0.0116,0.243,0.446,0.236,0.227,0.0109,0.0116,0.311,0.0657,0.13,0.245,0.236,0.564,0.258,0.362,0.24,0.0141,0.0,0.004739336492890933,0.004975124378109541,0.006666666666666599,0.04615384615384621,0.0,0.0022471910112360494,-0.001941747572815511,0.008368200836819994,0.0,0.008064516129032251,0.0,0.009708737864077444,0.0,0.008298755186721962,0.0022471910112360494,0.0,0.0,0.0,-0.008547008547008628,0.0,0.0,-0.02985074626865669,0.0,0.0,0.001776198934280604,0.01976284584980248,-0.010928961748633892,0.004184100418409997,0.0
nat_1995,0.25,0.085,0.213,0.202,0.152,0.00496,0.0325,0.447,0.514,0.242,0.158,0.252,0.135,0.00104,0.0116,0.246,0.447,0.236,0.227,0.0109,0.0115,0.311,0.0657,0.127,0.245,0.236,0.566,0.263,0.358,0.242,0.0141,0.0,0.004716981132075526,0.0,0.0066225165562914245,0.042016806722688926,0.0,0.0022421524663676085,0.0,0.004149377593360981,0.0,0.008000000000000007,0.0,0.0,0.0,0.012345679012345734,0.0022421524663676085,0.0,0.0,0.0,-0.008620689655172376,0.0,0.0,-0.023076923076923106,0.0,0.0,0.0035460992907800915,0.019379844961240345,-0.011049723756906049,0.008333333333333304,0.0
nat_1996,0.251,0.085,0.215,0.203,0.153,0.00517,0.0325,0.447,0.513,0.244,0.158,0.254,0.135,0.00105,0.0116,0.248,0.448,0.237,0.227,0.0109,0.0114,0.311,0.0657,0.123,0.245,0.235,0.567,0.269,0.354,0.243,0.0141,0.0,0.009389671361502261,0.004950495049504955,0.006578947368421018,0.042338709677419484,0.0,0.0,-0.0019455252918287869,0.008264462809917328,0.0,0.007936507936507908,0.0,0.009615384615384581,0.0,0.008130081300812941,0.0022371364653244186,0.004237288135593209,0.0,0.0,-0.008695652173912993,0.0,0.0,-0.03149606299212604,0.0,-0.004237288135593209,0.0017667844522968323,0.02281368821292773,-0.011173184357541888,0.004132231404958775,0.0
nat_1997,0.253,0.085,0.216,0.203,0.153,0.00537,0.0325,0.448,0.513,0.245,0.159,0.256,0.135,0.00105,0.0116,0.25,0.449,0.237,0.227,0.0109,0.0113,0.311,0.0657,0.12,0.245,0.235,0.569,0.274,0.35,0.244,0.0141,0.0,0.0046511627906977715,0.0,0.0,0.03868471953578334,0.0,0.0022371364653244186,0.0,0.004098360655737654,0.006329113924050667,0.007874015748031482,0.0,0.0,0.0,0.008064516129032251,0.0022321428571427937,0.0,0.0,0.0,-0.008771929824561542,0.0,0.0,-0.024390243902439046,0.0,0.0,0.003527336860670305,0.018587360594795488,-0.011299435028248594,0.004115226337448652,0.0
nat_1998,0.254,0.085,0.217,0.204,0.154,0.00558,0.0325,0.449,0.512,0.247,0.159,0.259,0.135,0.00105,0.0116,0.253,0.45,0.237,0.227,0.0109,0.0113,0.311,0.0657,0.117,0.245,0.235,0.57,0.28,0.346,0.246,0.0141,0.0,0.004629629629629539,0.004926108374384119,0.006535947712418277,0.03910614525139677,0.0,0.0022321428571427937,-0.0019493177387914784,0.008163265306122547,0.0,0.01171875,0.0,0.0,0.0,0.01200000000000001,0.00222717149220486,0.0,0.0,0.0,0.0,0.0,0.0,-0.02499999999999991,0.0,0.0,0.0017574692442883233,0.021897810218978186,-0.011428571428571455,0.008196721311475308,0.0
nat_1999,0.255,0.085,0.219,0.204,0.155,0.00578,0.0325,0.449,0.512,0.248,0.159,0.261,0.135,0.00106,0.0116,0.255,0.451,0.238,0.227,0.0109,0.0112,0.311,0.0657,0.113,0.245,0.234,0.572,0.285,0.342,0.247,0.0141,0.0,0.009216589861751112,0.0,0.006493506493506551,0.03584229390681015,0.0,0.0,0.0,0.004048582995951344,0.0,0.007722007722007707,0.0,0.00952380952380949,0.0,0.007905138339920903,0.0022222222222221255,0.00421940928270037,0.0,0.0,-0.008849557522123797,0.0,0.0,-0.03418803418803418,0.0,-0.004255319148936065,0.0035087719298245723,0.01785714285714257,-0.01156069364161838,0.004065040650406582,0.0
nat_2000,0.257,0.085,0.22,0.205,0.156,0.00599,0.0325,0.45,0.511,0.25,0.159,0.263,0.135,0.00106,0.0116,0.257,0.452,0.238,0.227,0.0109,0.0111,0.311,0.0657,0.11,0.245,0.234,0.573,0.291,0.338,0.248,0.0141,0.0,0.004566210045662045,0.004901960784313708,0.006451612903225712,0.03633217993079563,0.0,0.00222717149220486,-0.001953125,0.008064516129032251,0.0,0.00766283524904221,0.0,0.0,0.0,0.007843137254901933,0.0022172949002217113,0.0,0.0,0.0,-0.008928571428571397,0.0,0.0,-0.026548672566371723,0.0,0.0,0.0017482517482516613,0.021052631578947434,-0.011695906432748537,0.004048582995951344,0.0
nat_2001,0.257,0.0858,0.224,0.205,0.156,0.0065,0.0325,0.452,0.505,0.251,0.159,0.265,0.135,0.00107,0.0116,0.259,0.453,0.239,0.227,0.0109,0.0109,0.311,0.0657,0.11,0.245,0.234,0.573,0.293,0.333,0.249,0.0141,0.00941176470588223,0.0181818181818183,0.0,0.0,0.08514190317195336,0.0,0.004444444444444473,-0.011741682974559686,0.0040000000000000036,0.0,0.0076045627376426506,0.0,0.009433962264151052,0.0,0.0077821011673151474,0.0022123893805310324,0.004201680672268893,0.0,0.0,-0.018018018018018056,0.0,0.0,0.0,0.0,0.0,0.0,0.0068728522336769515,-0.014792899408283988,0.0040322580645162365,0.0
nat_2002,0.258,0.0865,0.229,0.206,0.155,0.00702,0.0325,0.454,0.5,0.252,0.159,0.268,0.135,0.00107,0.0116,0.261,0.453,0.24,0.227,0.0109,0.0108,0.311,0.0657,0.11,0.246,0.235,0.573,0.296,0.329,0.251,0.0141,0.008158508158508049,0.022321428571428603,0.004878048780487809,-0.0064102564102563875,0.08000000000000007,0.0,0.004424778761061843,-0.00990099009900991,0.003984063745019917,0.0,0.01132075471698113,0.0,0.0,0.0,0.007722007722007707,0.0,0.004184100418409997,0.0,0.0,-0.00917431192660545,0.0,0.0,0.0,0.004081632653061273,0.004273504273504258,0.0,0.010238907849829282,-0.012012012012012074,0.008032128514056325,0.0
