Unnamed: 1,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Belgium_rendements,Bulgaria_rendements,Croatia_rendements,Cyprus_rendements,Czech Republic_rendements,Denmark_rendements,Estonia_rendements,Finland_rendements,France_rendements,Germany_rendements,Greece_rendements,Hungary_rendements,Iceland_rendements,Ireland_rendements,Italy_rendements,Latvia_rendements,Lithuania_rendements,Luxembourg_rendements,Malta_rendements,Netherlands_rendements,Norway_rendements,Poland_rendements,Portugal_rendements,Romania_rendements,Slovakia_rendements,Slovenia_rendements,Spain_rendements,Sweden_rendements,Switzerland_rendements,United Kingdom_rendements
,3.9,9.9,1.7,3.7,5.1,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,0.0,3.7,6.6,1.5,2.6,8.9,23.8,10.8,0.0,3.2,5.1,2.0,2.6,3.0,3.2,1.5,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.9,9.9,1.7,3.7,5.1,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,0.0,3.7,6.6,1.5,2.6,8.9,23.8,10.8,0.0,3.2,5.1,2.0,2.6,3.0,3.2,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,3.9,9.9,1.7,3.7,5.1,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,0.0,3.7,6.6,1.5,2.6,8.9,23.8,10.8,0.0,3.2,5.1,2.0,2.6,3.0,3.2,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,3.9,9.9,1.7,3.7,5.1,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,0.0,3.7,6.6,1.5,2.6,8.9,23.8,10.8,0.0,3.2,5.1,2.0,2.6,3.0,3.2,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,3.9,9.9,1.7,3.7,5.1,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,0.0,3.7,6.6,1.5,2.6,8.9,23.8,10.8,0.0,3.2,5.1,2.0,2.6,3.0,3.2,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,3.9,9.9,1.7,3.7,5.1,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,0.0,3.7,6.6,1.5,2.6,8.9,23.8,10.8,0.0,3.2,5.1,2.0,2.6,3.0,3.2,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,3.9,9.9,1.7,3.7,5.1,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,0.0,3.7,6.6,1.5,2.6,8.9,23.8,10.8,0.0,3.2,5.1,2.0,2.6,3.0,3.2,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,3.9,9.9,1.7,3.7,5.1,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,0.0,3.7,6.6,1.5,2.6,8.9,23.8,10.8,0.0,3.2,5.1,2.0,2.6,3.0,3.2,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,3.9,9.9,1.7,3.7,5.1,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,0.0,3.7,6.6,1.5,2.6,8.9,23.8,10.8,0.0,3.2,5.1,2.0,2.6,3.0,3.2,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,3.9,9.9,1.7,3.7,5.1,4.3,6.4,1.8,1.5,5.1,6.8,2.9,3.6,0.0,3.7,6.6,1.5,2.6,8.9,23.8,10.8,0.0,3.2,5.1,2.0,2.6,3.0,3.2,1.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
