year;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom;Belgium_rendements;Bulgaria_rendements;Croatia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany_rendements;Greece_rendements;Hungary_rendements;Iceland_rendements;Ireland_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Malta_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements;Switzerland_rendements;United Kingdom_rendements
1980;5,0;1,5;93,3;50,4;0,0;109,0;0,0814;5,51;1,03;90,0;3,32;0,466;0,0;32,9;0,387;13,6;0,0;22,0;0,459;0,0;1,93;84,1;23,4;270,0;22,8;0,556;5,62;0,711;148,0;6,15;0,921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;5,0;1,5;93,3;50,4;0,0;109,0;0,0814;5,51;1,03;90,0;3,32;0,466;0,0;32,9;0,387;13,6;0,0;22,0;0,459;0,0;1,93;84,1;23,4;270,0;22,8;0,556;5,62;0,711;148,0;6,15;0,921;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1982;5,0;1,5;93,3;50,4;0,0;109,0;0,0814;5,51;1,03;90,0;3,32;0,466;0,0;32,9;0,387;13,6;0,0;22,0;0,459;0,0;1,93;84,1;23,4;270,0;22,8;0,556;5,62;0,711;148,0;6,15;0,921;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1983;5,0;1,5;93,3;50,4;0,0;109,0;0,0814;5,51;1,03;90,0;3,32;0,466;0,0;32,9;0,387;13,6;0,0;22,0;0,459;0,0;1,93;84,1;23,4;270,0;22,8;0,556;5,62;0,711;148,0;6,15;0,921;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1984;5,0;1,5;93,3;50,4;0,0;109,0;0,0814;5,51;1,03;90,0;3,32;0,466;0,0;32,9;0,387;13,6;0,0;22,0;0,459;0,0;1,93;84,1;23,4;270,0;22,8;0,556;5,62;0,711;148,0;6,15;0,921;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1985;5,0;1,5;93,3;50,4;0,0;109,0;0,0814;5,51;1,03;90,0;3,32;0,466;0,0;32,9;0,387;13,6;0,0;22,0;0,459;0,0;1,93;84,1;23,4;270,0;22,8;0,556;5,62;0,711;148,0;6,15;0,921;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1986;5,0;1,5;93,3;50,4;0,0;109,0;0,0814;5,51;1,03;90,0;3,32;0,466;0,0;32,9;0,387;13,6;0,0;22,0;0,459;0,0;1,93;84,1;23,4;270,0;22,8;0,556;5,62;0,711;148,0;6,15;0,921;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1987;5,0;1,5;93,3;50,4;0,0;109,0;0,0814;5,51;1,03;90,0;3,32;0,466;0,0;32,9;0,387;13,6;0,0;22,0;0,459;0,0;1,93;84,1;23,4;270,0;22,8;0,556;5,62;0,711;148,0;6,15;0,921;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1988;5,0;1,5;93,3;50,4;0,0;109,0;0,0814;5,51;1,03;90,0;3,32;0,466;0,0;32,9;0,387;13,6;0,0;22,0;0,459;0,0;1,93;84,1;23,4;270,0;22,8;0,556;5,62;0,711;148,0;6,15;0,921;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1989;5,0;1,5;93,3;50,4;0,0;109,0;0,0814;5,51;1,03;90,0;3,32;0,466;0,0;32,9;0,387;13,6;0,0;22,0;0,459;0,0;1,93;84,1;23,4;270,0;22,8;0,556;5,62;0,711;148,0;6,15;0,921;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
