;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom;Belgium_rendements;Bulgaria_rendements;Croatia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany_rendements;Greece_rendements;Hungary_rendements;Iceland_rendements;Ireland_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Malta_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements;Switzerland_rendements;United Kingdom_rendements
1980;0,45;0,219;0,3;0,211;0,174;0,334;0,124;0,488;0,646;0,263;0,316;0,25;0,195;0,00166;0,0657;0,251;0,493;0,3;0,335;0,0109;0,0831;0,315;0,284;0,369;0,267;0,388;0,579;0,275;0,531;0,279;0,114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;0,45;0,219;0,3;0,211;0,174;0,334;0,124;0,488;0,646;0,263;0,316;0,25;0,195;0,00166;0,0657;0,251;0,493;0,3;0,335;0,0109;0,0831;0,315;0,284;0,369;0,267;0,388;0,579;0,275;0,531;0,279;0,114;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1982;0,45;0,219;0,3;0,211;0,174;0,334;0,124;0,488;0,646;0,263;0,316;0,25;0,195;0,00166;0,0657;0,251;0,493;0,3;0,335;0,0109;0,0831;0,315;0,284;0,369;0,267;0,388;0,579;0,275;0,531;0,279;0,114;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1983;0,45;0,219;0,3;0,211;0,174;0,334;0,124;0,488;0,646;0,263;0,316;0,25;0,195;0,00166;0,0657;0,251;0,493;0,3;0,335;0,0109;0,0831;0,315;0,284;0,369;0,267;0,388;0,579;0,275;0,531;0,279;0,114;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1984;0,45;0,219;0,3;0,211;0,174;0,334;0,124;0,488;0,646;0,263;0,316;0,25;0,195;0,00166;0,0657;0,251;0,493;0,3;0,335;0,0109;0,0831;0,315;0,284;0,369;0,267;0,388;0,579;0,275;0,531;0,279;0,114;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1985;0,45;0,219;0,3;0,211;0,174;0,334;0,124;0,488;0,646;0,263;0,316;0,25;0,195;0,00166;0,0657;0,251;0,493;0,3;0,335;0,0109;0,0831;0,315;0,284;0,369;0,267;0,388;0,579;0,275;0,531;0,279;0,114;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1986;0,45;0,219;0,3;0,211;0,174;0,334;0,124;0,488;0,646;0,263;0,316;0,25;0,195;0,00166;0,0657;0,251;0,493;0,3;0,335;0,0109;0,0831;0,315;0,284;0,369;0,267;0,388;0,579;0,275;0,531;0,279;0,114;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1987;0,45;0,219;0,3;0,211;0,174;0,334;0,124;0,488;0,646;0,263;0,316;0,25;0,195;0,00166;0,0657;0,251;0,493;0,3;0,335;0,0109;0,0831;0,315;0,284;0,369;0,267;0,388;0,579;0,275;0,531;0,279;0,114;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1988;0,45;0,219;0,3;0,211;0,174;0,334;0,124;0,488;0,646;0,263;0,316;0,25;0,195;0,00166;0,0657;0,251;0,493;0,3;0,335;0,0109;0,0831;0,315;0,284;0,369;0,267;0,388;0,579;0,275;0,531;0,279;0,114;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1989;0,45;0,219;0,3;0,211;0,174;0,334;0,124;0,488;0,646;0,263;0,316;0,25;0,195;0,00166;0,0657;0,251;0,493;0,3;0,335;0,0109;0,0831;0,315;0,284;0,369;0,267;0,388;0,579;0,275;0,531;0,279;0,114;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
