year;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom;Belgium_rendements;Bulgaria_rendements;Croatia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany_rendements;Greece_rendements;Hungary_rendements;Iceland_rendements;Ireland_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Malta_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements;Switzerland_rendements;United Kingdom_rendements
1980;0,207;0,134;0,093;0,0102;0,0263;0,329;0,104;0,0432;0,13;0,0278;0,158;0,00892;0,0853;0,000637;0,0541;0,0175;0,0489;0,0646;0,108;0,000938;0,0711;0,00299;0,236;0,225;0,0221;0,152;0,0178;0,0384;0,153;0,0442;0,0999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;0,207;0,134;0,093;0,0102;0,0263;0,329;0,104;0,0432;0,13;0,0278;0,158;0,00892;0,0853;0,000637;0,0541;0,0175;0,0489;0,0646;0,108;0,000938;0,0711;0,00299;0,236;0,225;0,0221;0,152;0,0178;0,0384;0,153;0,0442;0,0999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1982;0,207;0,134;0,093;0,0102;0,0263;0,329;0,104;0,0432;0,13;0,0278;0,158;0,00892;0,0853;0,000637;0,0541;0,0175;0,0489;0,0646;0,108;0,000938;0,0711;0,00299;0,236;0,225;0,0221;0,152;0,0178;0,0384;0,153;0,0442;0,0999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1983;0,207;0,134;0,093;0,0102;0,0263;0,329;0,104;0,0432;0,13;0,0278;0,158;0,00892;0,0853;0,000637;0,0541;0,0175;0,0489;0,0646;0,108;0,000938;0,0711;0,00299;0,236;0,225;0,0221;0,152;0,0178;0,0384;0,153;0,0442;0,0999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1984;0,207;0,134;0,093;0,0102;0,0263;0,329;0,104;0,0432;0,13;0,0278;0,158;0,00892;0,0853;0,000637;0,0541;0,0175;0,0489;0,0646;0,108;0,000938;0,0711;0,00299;0,236;0,225;0,0221;0,152;0,0178;0,0384;0,153;0,0442;0,0999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1985;0,207;0,134;0,093;0,0102;0,0263;0,329;0,104;0,0432;0,13;0,0278;0,158;0,00892;0,0853;0,000637;0,0541;0,0175;0,0489;0,0646;0,108;0,000938;0,0711;0,00299;0,236;0,225;0,0221;0,152;0,0178;0,0384;0,153;0,0442;0,0999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1986;0,207;0,134;0,093;0,0102;0,0263;0,329;0,104;0,0432;0,13;0,0278;0,158;0,00892;0,0853;0,000637;0,0541;0,0175;0,0489;0,0646;0,108;0,000938;0,0711;0,00299;0,236;0,225;0,0221;0,152;0,0178;0,0384;0,153;0,0442;0,0999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1987;0,207;0,134;0,093;0,0102;0,0263;0,329;0,104;0,0432;0,13;0,0278;0,158;0,00892;0,0853;0,000637;0,0541;0,0175;0,0489;0,0646;0,108;0,000938;0,0711;0,00299;0,236;0,225;0,0221;0,152;0,0178;0,0384;0,153;0,0442;0,0999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1988;0,207;0,134;0,093;0,0102;0,0263;0,329;0,104;0,0432;0,13;0,0278;0,158;0,00892;0,0853;0,000637;0,0541;0,0175;0,0489;0,0646;0,108;0,000938;0,0711;0,00299;0,236;0,225;0,0221;0,152;0,0178;0,0384;0,153;0,0442;0,0999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1989;0,207;0,134;0,093;0,0102;0,0263;0,329;0,104;0,0432;0,13;0,0278;0,158;0,00892;0,0853;0,000637;0,0541;0,0175;0,0489;0,0646;0,108;0,000938;0,0711;0,00299;0,236;0,225;0,0221;0,152;0,0178;0,0384;0,153;0,0442;0,0999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
