year;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom;Belgium_rendements;Bulgaria_rendements;Croatia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany_rendements;Greece_rendements;Hungary_rendements;Iceland_rendements;Ireland_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Malta_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements;Switzerland_rendements;United Kingdom_rendements
1980;5,28;8,73;9,75;9,75;18,4;6,32;7,63;5,67;5,41;11,9;7,28;16,0;9,05;1,31;9,33;7,28;4,75;4,75;7,78;17,6;9,75;6,72;6,36;14,8;7,77;6,25;7,28;7,28;6,37;4,21;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;6,16;9,11;10,5;10,5;18,9;7,47;8,27;6,11;5,33;12,6;8,25;16,4;10,4;0,289;9,29;8,2;5,85;5,85;8,4;18,1;9,97;6,1;7,64;15,6;8,79;7,62;8,2;8,2;6,66;4,77;10,1;0,04352806414662069;0,07692307692307687;0,07692307692307687;0,02717391304347827;0,18196202531645556;0,08387942332896459;0,07760141093474426;-0,014787430683918634;0,05882352941176472;0,1332417582417582;0,02499999999999991;0,149171270718232;-0,7793893129770992;-0,004287245444801857;0,12637362637362615;0,23157894736842088;0,23157894736842088;0,07969151670951158;0,02840909090909083;0,022564102564102573;-0,09226190476190477;0,20125786163522008;0,054054054054053946;0,13127413127413123;0,21920000000000006;0,12637362637362615;0,12637362637362615;0,04552590266875978;0,1330166270783848;0,0
1982;6,68;9,79;10,3;10,3;18,2;7,89;8,79;6,54;5,98;13,3;8,66;16,0;10,4;1,03;9,41;8,6;6,11;6,11;9,03;18,6;10,6;7,4;8,18;15,1;8,79;7,87;8,6;8,6;7,29;5,48;10,8;0,07464324917672882;-0,01904761904761898;-0,01904761904761898;-0,03703703703703698;0,05622489959839361;0,06287787182587667;0,07037643207855959;0,12195121951219523;0,05555555555555558;0,049696969696969795;-0,024390243902438935;0,0;2,5640138408304503;0,012917115177610405;0,04878048780487809;0,04444444444444451;0,04444444444444451;0,07499999999999996;0,027624309392265234;0,06318956870611836;0,2131147540983609;0,07068062827225141;-0,03205128205128205;0,0;0,03280839895013132;0,04878048780487809;0,04878048780487809;0,09459459459459452;0,14884696016771515;0,06930693069306937
1983;7,01;9,79;10,5;10,5;18,1;8,28;9,21;7,11;6,19;13,2;9,16;15,7;10,9;0,492;9,69;8,71;6,92;6,92;9,09;18,1;10,7;7,11;8,81;15,0;9,25;8,36;8,71;8,71;7,94;5,68;10,8;0,0;0,01941747572815533;0,01941747572815533;-0,005494505494505364;0,049429657794676674;0,047781569965870574;0,08715596330275233;0,03511705685618738;-0,007518796992481258;0,05773672055427248;-0,018750000000000044;0,04807692307692313;-0,5223300970873787;0,029755579171094615;0,01279069767441876;0,13256955810147297;0,13256955810147297;0,006644518272425293;-0,026881720430107503;0,00943396226415083;-0,03918918918918923;0,07701711491442542;-0,0066225165562913135;0,05233219567690561;0,06226175349428198;0,01279069767441876;0,01279069767441876;0,08916323731138553;0,03649635036496335;0,0
1984;5,76;9,11;10,3;10,3;18,5;7,07;8,33;6,84;6,35;12,1;8,08;16,1;9,91;1,68;9,31;7,73;6,12;6,12;8,28;18,1;10,1;7,12;7,59;14,4;8,52;7,33;7,73;7,73;7,53;4,38;10,6;-0,06945863125638407;-0,01904761904761898;-0,01904761904761898;0,022099447513812098;-0,14613526570048296;-0,09554831704668842;-0,03797468354430389;0,025848142164781818;-0,08333333333333326;-0,11790393013100442;0,025477707006369643;-0,09082568807339453;2,4146341463414633;-0,039215686274509665;-0,1125143513203215;-0,11560693641618491;-0,11560693641618491;-0,08910891089108919;0,0;-0,05607476635514019;0,0014064697609001975;-0,13847900113507383;-0,039999999999999925;-0,078918918918919;-0,12320574162679421;-0,1125143513203215;-0,1125143513203215;-0,05163727959697739;-0,22887323943661975;-0,0185185185185186
1985;5,76;8,34;10,2;10,2;18,8;6,56;7,37;4,65;3,59;13,1;7,24;16,5;9,29;1,18;8,64;7,78;4,29;4,29;7,52;18,7;9,11;6,14;6,56;15,0;7,77;6,62;7,78;7,78;5,52;4,65;9,57;-0,08452250274423712;-0,009708737864077777;-0,009708737864077777;0,016216216216216273;-0,07213578500707218;-0,11524609843937572;-0,3201754385964911;-0,4346456692913385;0,0826446280991735;-0,10396039603960394;0,024844720496894235;-0,06256306760847641;-0,29761904761904767;-0,0719656283566058;0,0064683053040104355;-0,2990196078431373;-0,2990196078431373;-0,09178743961352653;0,03314917127071815;-0,098019801980198;-0,1376404494382023;-0,13570487483530969;0,04166666666666674;-0,0880281690140845;-0,096862210095498;0,0064683053040104355;0,0064683053040104355;-0,26693227091633476;0,06164383561643838;-0,09716981132075464
1986;6,2;8,85;10,4;10,4;18,8;7,27;7,99;5,78;5,06;13,0;7,86;16,3;10,0;1,26;8,33;7,98;5,55;5,55;8,05;18,4;9,59;6,18;7,34;14,6;8,9;7,43;7,98;7,98;6,55;4,89;9,53;0,06115107913669071;0,019607843137255054;0,019607843137255054;0,0;0,1082317073170731;0,08412483039348717;0,24301075268817196;0,4094707520891365;-0,007633587786259555;0,08563535911602216;-0,012121212121212088;0,07642626480086134;0,06779661016949157;-0,03587962962962965;0,02570694087403602;0,29370629370629375;0,29370629370629375;0,07047872340425543;-0,016042780748663166;0,05268935236004402;0,006514657980456029;0,11890243902439024;-0,026666666666666727;0,14543114543114544;0,12235649546827787;0,02570694087403602;0,02570694087403602;0,18659420289855078;0,05161290322580636;-0,004179728317659448
1987;6,03;8,69;10,2;10,2;18,5;6,67;7,27;4,4;3,65;13,3;7,06;16,1;9,66;2,36;9,06;8,05;3,96;3,96;7,8;18,9;9,54;6,52;6,34;15,5;8,25;6,95;8,05;8,05;5,55;4,96;9,87;-0,01807909604519775;-0,019230769230769384;-0,019230769230769384;-0,015957446808510634;-0,08253094910591463;-0,09011264080100134;-0,23875432525951557;-0,2786561264822134;0,023076923076923217;-0,10178117048346069;-0,012269938650306678;-0,03400000000000003;0,8730158730158728;0,08763505402160865;0,00877192982456143;-0,28648648648648645;-0,28648648648648645;-0,03105590062111807;0,02717391304347827;-0,005213764337852034;0,055016181229773364;-0,1362397820163488;0,06164383561643838;-0,0730337078651686;-0,06460296096904439;0,00877192982456143;0,00877192982456143;-0,15267175572519087;0,014314928425357865;0,035676810073452137
1988;6,8;10,1;10,5;10,5;18,8;7,98;9,3;6,58;6,23;13,4;8,97;16,4;10,4;0,953;9,58;8,75;6,2;6,2;9,18;19,3;10,9;7,56;8,12;14,9;8,8;7,77;8,75;8,75;7,44;5,63;10,6;0,1622554660529345;0,02941176470588247;0,02941176470588247;0,016216216216216273;0,19640179910044986;0,2792297111416784;0,49545454545454537;0,7068493150684934;0,007518796992481258;0,2705382436260624;0,01863354037267073;0,07660455486542439;-0,5961864406779661;0,05739514348785857;0,08695652173913038;0,5656565656565657;0,5656565656565657;0,17692307692307696;0,021164021164021385;0,1425576519916143;0,1595092024539877;0,2807570977917979;-0,03870967741935483;0,06666666666666665;0,11798561151079134;0,08695652173913038;0,08695652173913038;0,3405405405405406;0,13508064516129026;0,07396149949341435
1989;7,27;10,5;10,8;10,8;18,8;8,42;10,0;8,0;7,35;13,6;9,83;16,0;10,9;1,15;9,68;8,97;7,67;7,67;9,61;18,8;11,3;7,91;9,17;16,0;9,52;8,32;8,97;8,97;8,95;6,14;11,7;0,03960396039603964;0,028571428571428692;0,028571428571428692;0,0;0,05513784461152871;0,07526881720430101;0,21580547112462;0,17977528089887618;0,014925373134328401;0,09587513935340009;-0,024390243902438935;0,04807692307692313;0,20671563483735578;0,010438413361169019;0,025142857142857133;0,23709677419354835;0,23709677419354835;0,046840958605664396;-0,025906735751295318;0,03669724770642202;0,04629629629629628;0,1293103448275863;0,0738255033557047;0,08181818181818179;0,07078507078507079;0,025142857142857133;0,025142857142857133;0,20295698924731176;0,09058614564831258;0,10377358490566024
