,"Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","UK"
"urb_2009","3,9","9,9","NA","NA","NA","4,3","6,4","1,8","1,5","5,1","6,8","2,9","3,6",0,"3,7","6,6","1,5","2,6","8,9","NA","10,8",0,"3,2","5,1","NA","2,6",3,"3,2","1,5",0,6
"urb_2010","3,99999999999997","10,1999999999999","NA","NA","NA","4,33333333333332","6,49999999999997","1,83333333333334","1,53333333333333","5,13333333333333","6,89999999999998","3,03333333333336","3,66666666666669",0,"3,73333333333332","6,66666666666667","1,53333333333333","2,63333333333334","9,16666666666674","NA","11,0333333333333",0,"3,23333333333332","5,13333333333333","NA","2,66666666666669","3,06666666666666","3,23333333333332","1,5",0,"6,06666666666668"
"urb_2011","4,09999999999997","10,4999999999999","NA","NA","NA","4,36666666666667","6,59999999999999","1,86666666666667","1,56666666666666","5,16666666666667",7,"3,16666666666669","3,73333333333335",0,"3,76666666666665","6,73333333333333","1,56666666666666","2,66666666666667","9,43333333333339","NA","11,2666666666667",0,"3,26666666666665","5,16666666666667","NA","2,73333333333335","3,13333333333333","3,26666666666665","1,5",0,"6,13333333333334"
"urb_2012","4,2","10,8","1,7","NA","5,1","4,4","6,7","1,9","1,6","5,2","7,1","3,3","3,8",0,"3,8","6,8","1,6","2,7","9,7","23,8","11,5",0,"3,3","5,2",2,"2,8","3,2","3,3","1,5",0,"6,2"
"urb_2013","4,23333333333333",11,"1,73333333333332","NA","5,20000000000002","4,46666666666667","6,76666666666665","1,93333333333332","1,6","5,26666666666665","7,20000000000002","3,33333333333332","3,90000000000001",0,"3,8","6,83333333333334","1,6","2,73333333333333","9,73333333333332","23,7666666666667","11,7",0,"3,36666666666665","5,23333333333333","2,06666666666663","2,86666666666665","3,23333333333333","3,33333333333332","1,53333333333332",0,"6,30000000000001"
"urb_2014","4,26666666666667","11,2","1,76666666666665","NA","5,30000000000001","4,53333333333333","6,83333333333331","1,96666666666665","1,6","5,33333333333331","7,30000000000001","3,36666666666665",4,0,"3,8","6,86666666666667","1,6","2,76666666666667","9,76666666666665","23,7333333333333","11,9",0,"3,43333333333331","5,26666666666667","2,1333333333333","2,93333333333331","3,26666666666667","3,36666666666665","1,56666666666665",0,"6,40000000000001"
"urb_2015","4,3","11,4","1,8","3,7","5,4","4,6","6,9",2,"1,6","5,4","7,4","3,4","4,1",0,"3,8","6,9","1,6","2,8","9,8","23,7","12,1",0,"3,5","5,3","2,2",3,"3,3","3,4","1,6",0,"6,5"
"urb_2016","4,26666666666667","11,5","1,9666666666667","3,5333333333333","5,66666666666674","4,53333333333333","6,9","1,89999999999998","1,63333333333334","5,46666666666667","7,46666666666667","3,60000000000002","4,06666666666666",0,"3,93333333333334","6,80000000000001","1,63333333333334","2,56666666666666",9,"24,9666666666667","12,2666666666667",0,"3,53333333333334","5,66666666666663","2,40000000000003","3,13333333333333","3,63333333333333","3,5","1,66666666666669",0,"6,46666666666667"
"urb_mean","4,15833333333333","10,8125","1,79333333333333","3,61666666666665","5,33333333333335","4,44166666666666","6,69999999999999","1,9","1,57916666666667","5,25833333333333","7,14583333333333","3,26250000000001","3,85833333333334",0,"3,79166666666666","6,775","1,57916666666667","2,68333333333333","9,43750000000001","23,9933333333333","11,5708333333333",0,"3,35416666666666","5,25833333333333","2,15999999999999","2,84166666666666","3,22916666666666","3,32499999999999","1,54583333333333",0,"6,25833333333334"
"d_urb","0,014041514041515","0,023448773448775","NA","NA","NA","0,009782207456627","0,011656746031747","0,012345679012344","0,010846560846562","0,010426392779335","0,014297385620916","0,030240831964971","0,02094356261023",0,"0,006649506649507","0,005411255411256","0,010846560846562","0,004273504273504","0,006554307116104","NA","0,019510582010584",0,"0,015749007936509","0,011982570806101","NA","0,027777777777778","0,0239417989418","0,012152777777779","0,015079365079367",0,"0,012566137566138"
"temp_1950","6,75664712925406","9,63596033018661","11,6375754067671","12,0480943379864","17,6006280855201","7,97284444805071","8,46516672933203","5,12679322788671","2,18426109996181","10,7729955601199","8,60567412118429","14,7755437424771","11,2279331079428","1,35976316560282","9,03381894966758","12,7208130429114","5,71905589884161","6,26719749794632","8,7592625617981","NA","9,50981923022301","1,4347656785878","7,95114930225092","15,1210763759572","11,4721754393152","8,41560830834771","9,55978578252342","13,5944257837405","2,43380161587651","5,34922459961618","8,55841955219319"
